                                                                                                            
{'loss': '0.693', 'grad_norm': '8.043', 'learning_rate': '4.5e-08', 'rewards/chosen': '0.002778', 'rewards/rejected': '0.002157', 'rewards/accuracies': '0.3625', 'rewards/margins': '0.0006214', 'logps/chosen': '-154.9', 'logps/rejected': '-68.91', 'logits/chosen': '1.662', 'logits/rejected': '1.632', 'epoch': '0.0107'}
{'loss': '0.6518', 'grad_norm': '9.149', 'learning_rate': '4.946e-07', 'rewards/chosen': '0.05568', 'rewards/rejected': '-0.02956', 'rewards/accuracies': '0.975', 'rewards/margins': '0.08524', 'logps/chosen': '-164.4', 'logps/rejected': '-69.41', 'logits/chosen': '1.632', 'logits/rejected': '1.722', 'epoch': '0.1606'}
{'loss': '0.6403', 'grad_norm': '10.01', 'learning_rate': '4.936e-07', 'rewards/chosen': '0.07631', 'rewards/rejected': '-0.03299', 'rewards/accuracies': '0.9875', 'rewards/margins': '0.1093', 'logps/chosen': '-163.4', 'logps/rejected': '-69.36', 'logits/chosen': '1.731', 'logits/rejected': '1.695', 'epoch': '0.1713'}
{'loss': '0.625', 'grad_norm': '8.294', 'learning_rate': '4.925e-07', 'rewards/chosen': '0.0971', 'rewards/rejected': '-0.04537', 'rewards/accuracies': '1', 'rewards/margins': '0.1425', 'logps/chosen': '-160.2', 'logps/rejected': '-69.96', 'logits/chosen': '1.712', 'logits/rejected': '1.668', 'epoch': '0.182'}
{'loss': '0.6169', 'grad_norm': '8.272', 'learning_rate': '4.914e-07', 'rewards/chosen': '0.1037', 'rewards/rejected': '-0.05616', 'rewards/accuracies': '1', 'rewards/margins': '0.1598', 'logps/chosen': '-156.5', 'logps/rejected': '-69.03', 'logits/chosen': '1.691', 'logits/rejected': '1.638', 'epoch': '0.1927'}
{'loss': '0.6122', 'grad_norm': '8.734', 'learning_rate': '4.903e-07', 'rewards/chosen': '0.1139', 'rewards/rejected': '-0.05674', 'rewards/accuracies': '0.9875', 'rewards/margins': '0.1706', 'logps/chosen': '-158.3', 'logps/rejected': '-70.53', 'logits/chosen': '1.786', 'logits/rejected': '1.64', 'epoch': '0.2034'}
{'loss': '0.6062', 'grad_norm': '8.191', 'learning_rate': '4.892e-07', 'rewards/chosen': '0.1223', 'rewards/rejected': '-0.06188', 'rewards/accuracies': '1', 'rewards/margins': '0.1842', 'logps/chosen': '-152.2', 'logps/rejected': '-68.19', 'logits/chosen': '1.698', 'logits/rejected': '1.648', 'epoch': '0.2141'}
{'loss': '0.5896', 'grad_norm': '10.07', 'learning_rate': '4.881e-07', 'rewards/chosen': '0.1428', 'rewards/rejected': '-0.07865', 'rewards/accuracies': '0.9875', 'rewards/margins': '0.2215', 'logps/chosen': '-157.9', 'logps/rejected': '-70.69', 'logits/chosen': '1.64', 'logits/rejected': '1.738', 'epoch': '0.2248'}
{'loss': '0.583', 'grad_norm': '7.549', 'learning_rate': '4.87e-07', 'rewards/chosen': '0.1498', 'rewards/rejected': '-0.08618', 'rewards/accuracies': '1', 'rewards/margins': '0.2359', 'logps/chosen': '-148.5', 'logps/rejected': '-69.21', 'logits/chosen': '1.662', 'logits/rejected': '1.702', 'epoch': '0.2355'}
{'loss': '0.5673', 'grad_norm': '8.453', 'learning_rate': '4.859e-07', 'rewards/chosen': '0.179', 'rewards/rejected': '-0.09384', 'rewards/accuracies': '1', 'rewards/margins': '0.2728', 'logps/chosen': '-154.8', 'logps/rejected': '-70.21', 'logits/chosen': '1.633', 'logits/rejected': '1.728', 'epoch': '0.2462'}
{'loss': '0.558', 'grad_norm': '7.775', 'learning_rate': '4.848e-07', 'rewards/chosen': '0.1848', 'rewards/rejected': '-0.1103', 'rewards/accuracies': '1', 'rewards/margins': '0.2951', 'logps/chosen': '-151.8', 'logps/rejected': '-70.38', 'logits/chosen': '1.697', 'logits/rejected': '1.753', 'epoch': '0.2569'}
{'loss': '0.5388', 'grad_norm': '7.716', 'learning_rate': '4.837e-07', 'rewards/chosen': '0.2123', 'rewards/rejected': '-0.1277', 'rewards/accuracies': '1', 'rewards/margins': '0.34', 'logps/chosen': '-156.7', 'logps/rejected': '-70.59', 'logits/chosen': '1.737', 'logits/rejected': '1.688', 'epoch': '0.2676'}
{'loss': '0.5315', 'grad_norm': '7.715', 'learning_rate': '4.826e-07', 'rewards/chosen': '0.2298', 'rewards/rejected': '-0.1286', 'rewards/accuracies': '1', 'rewards/margins': '0.3584', 'logps/chosen': '-159.9', 'logps/rejected': '-69.45', 'logits/chosen': '1.749', 'logits/rejected': '1.712', 'epoch': '0.2783'}
{'loss': '0.5181', 'grad_norm': '7.462', 'learning_rate': '4.815e-07', 'rewards/chosen': '0.2408', 'rewards/rejected': '-0.1517', 'rewards/accuracies': '1', 'rewards/margins': '0.3925', 'logps/chosen': '-158.8', 'logps/rejected': '-70.71', 'logits/chosen': '1.662', 'logits/rejected': '1.723', 'epoch': '0.289'}
{'loss': '0.5064', 'grad_norm': '7.329', 'learning_rate': '4.804e-07', 'rewards/chosen': '0.2512', 'rewards/rejected': '-0.1716', 'rewards/accuracies': '1', 'rewards/margins': '0.4227', 'logps/chosen': '-156.5', 'logps/rejected': '-70.49', 'logits/chosen': '1.733', 'logits/rejected': '1.742', 'epoch': '0.2997'}
{'loss': '0.4894', 'grad_norm': '8.613', 'learning_rate': '4.793e-07', 'rewards/chosen': '0.2797', 'rewards/rejected': '-0.186', 'rewards/accuracies': '1', 'rewards/margins': '0.4657', 'logps/chosen': '-163', 'logps/rejected': '-72.11', 'logits/chosen': '1.805', 'logits/rejected': '1.799', 'epoch': '0.3104'}
{'loss': '0.4748', 'grad_norm': '7.378', 'learning_rate': '4.783e-07', 'rewards/chosen': '0.3132', 'rewards/rejected': '-0.1908', 'rewards/accuracies': '1', 'rewards/margins': '0.504', 'logps/chosen': '-156.3', 'logps/rejected': '-69.97', 'logits/chosen': '1.704', 'logits/rejected': '1.749', 'epoch': '0.3211'}
{'loss': '0.4673', 'grad_norm': '7.064', 'learning_rate': '4.772e-07', 'rewards/chosen': '0.3146', 'rewards/rejected': '-0.2108', 'rewards/accuracies': '1', 'rewards/margins': '0.5254', 'logps/chosen': '-153.2', 'logps/rejected': '-71.09', 'logits/chosen': '1.798', 'logits/rejected': '1.738', 'epoch': '0.3318'}
{'loss': '0.4475', 'grad_norm': '6.611', 'learning_rate': '4.761e-07', 'rewards/chosen': '0.3499', 'rewards/rejected': '-0.2354', 'rewards/accuracies': '1', 'rewards/margins': '0.5853', 'logps/chosen': '-168.3', 'logps/rejected': '-71', 'logits/chosen': '1.753', 'logits/rejected': '1.75', 'epoch': '0.3425'}
{'loss': '0.4265', 'grad_norm': '6.845', 'learning_rate': '4.75e-07', 'rewards/chosen': '0.3806', 'rewards/rejected': '-0.2593', 'rewards/accuracies': '1', 'rewards/margins': '0.6398', 'logps/chosen': '-177.6', 'logps/rejected': '-71.16', 'logits/chosen': '1.817', 'logits/rejected': '1.75', 'epoch': '0.3532'}
{'loss': '0.4076', 'grad_norm': '6.693', 'learning_rate': '4.739e-07', 'rewards/chosen': '0.4075', 'rewards/rejected': '-0.2923', 'rewards/accuracies': '1', 'rewards/margins': '0.6998', 'logps/chosen': '-159.6', 'logps/rejected': '-71.17', 'logits/chosen': '1.777', 'logits/rejected': '1.808', 'epoch': '0.3639'}
{'loss': '0.4172', 'grad_norm': '5.849', 'learning_rate': '4.728e-07', 'rewards/chosen': '0.3858', 'rewards/rejected': '-0.284', 'rewards/accuracies': '1', 'rewards/margins': '0.6698', 'logps/chosen': '-157.7', 'logps/rejected': '-70.65', 'logits/chosen': '1.786', 'logits/rejected': '1.774', 'epoch': '0.3746'}
{'loss': '0.392', 'grad_norm': '6.872', 'learning_rate': '4.717e-07', 'rewards/chosen': '0.4211', 'rewards/rejected': '-0.3248', 'rewards/accuracies': '1', 'rewards/margins': '0.7459', 'logps/chosen': '-163.5', 'logps/rejected': '-71.07', 'logits/chosen': '1.774', 'logits/rejected': '1.79', 'epoch': '0.3853'}
{'loss': '0.3849', 'grad_norm': '6.033', 'learning_rate': '4.706e-07', 'rewards/chosen': '0.421', 'rewards/rejected': '-0.3524', 'rewards/accuracies': '1', 'rewards/margins': '0.7734', 'logps/chosen': '-158.1', 'logps/rejected': '-71.4', 'logits/chosen': '1.758', 'logits/rejected': '1.753', 'epoch': '0.396'}
{'loss': '0.3554', 'grad_norm': '5.978', 'learning_rate': '4.695e-07', 'rewards/chosen': '0.4994', 'rewards/rejected': '-0.3697', 'rewards/accuracies': '1', 'rewards/margins': '0.8691', 'logps/chosen': '-165.1', 'logps/rejected': '-72.6', 'logits/chosen': '1.738', 'logits/rejected': '1.743', 'epoch': '0.4067'}
{'loss': '0.3379', 'grad_norm': '5.488', 'learning_rate': '4.684e-07', 'rewards/chosen': '0.5387', 'rewards/rejected': '-0.385', 'rewards/accuracies': '1', 'rewards/margins': '0.9237', 'logps/chosen': '-151.7', 'logps/rejected': '-73.07', 'logits/chosen': '1.688', 'logits/rejected': '1.785', 'epoch': '0.4174'}
{'loss': '0.341', 'grad_norm': '5.64', 'learning_rate': '4.673e-07', 'rewards/chosen': '0.501', 'rewards/rejected': '-0.4167', 'rewards/accuracies': '1', 'rewards/margins': '0.9177', 'logps/chosen': '-156.5', 'logps/rejected': '-72.52', 'logits/chosen': '1.77', 'logits/rejected': '1.791', 'epoch': '0.4282'}
{'loss': '0.3168', 'grad_norm': '5.514', 'learning_rate': '4.662e-07', 'rewards/chosen': '0.5848', 'rewards/rejected': '-0.4293', 'rewards/accuracies': '1', 'rewards/margins': '1.014', 'logps/chosen': '-161', 'logps/rejected': '-73.37', 'logits/chosen': '1.774', 'logits/rejected': '1.748', 'epoch': '0.4389'}
{'loss': '0.3175', 'grad_norm': '5.14', 'learning_rate': '4.651e-07', 'rewards/chosen': '0.5358', 'rewards/rejected': '-0.4628', 'rewards/accuracies': '1', 'rewards/margins': '0.9986', 'logps/chosen': '-160.5', 'logps/rejected': '-72.72', 'logits/chosen': '1.804', 'logits/rejected': '1.87', 'epoch': '0.4496'}
{'loss': '0.3142', 'grad_norm': '5.379', 'learning_rate': '4.64e-07', 'rewards/chosen': '0.5424', 'rewards/rejected': '-0.4806', 'rewards/accuracies': '1', 'rewards/margins': '1.023', 'logps/chosen': '-159.1', 'logps/rejected': '-73.12', 'logits/chosen': '1.767', 'logits/rejected': '1.825', 'epoch': '0.4603'}
{'loss': '0.2918', 'grad_norm': '4.926', 'learning_rate': '4.63e-07', 'rewards/chosen': '0.5945', 'rewards/rejected': '-0.518', 'rewards/accuracies': '1', 'rewards/margins': '1.112', 'logps/chosen': '-154.3', 'logps/rejected': '-73.99', 'logits/chosen': '1.825', 'logits/rejected': '1.841', 'epoch': '0.471'}
{'loss': '0.2732', 'grad_norm': '5.214', 'learning_rate': '4.619e-07', 'rewards/chosen': '0.6447', 'rewards/rejected': '-0.5479', 'rewards/accuracies': '1', 'rewards/margins': '1.193', 'logps/chosen': '-159.7', 'logps/rejected': '-74.87', 'logits/chosen': '1.789', 'logits/rejected': '1.82', 'epoch': '0.4817'}
{'loss': '0.2693', 'grad_norm': '4.466', 'learning_rate': '4.608e-07', 'rewards/chosen': '0.6413', 'rewards/rejected': '-0.5643', 'rewards/accuracies': '1', 'rewards/margins': '1.206', 'logps/chosen': '-154.5', 'logps/rejected': '-74.51', 'logits/chosen': '1.817', 'logits/rejected': '1.797', 'epoch': '0.4924'}
{'loss': '0.2575', 'grad_norm': '4.685', 'learning_rate': '4.597e-07', 'rewards/chosen': '0.6528', 'rewards/rejected': '-0.5977', 'rewards/accuracies': '1', 'rewards/margins': '1.251', 'logps/chosen': '-162.4', 'logps/rejected': '-74.98', 'logits/chosen': '1.84', 'logits/rejected': '1.835', 'epoch': '0.5031'}
{'loss': '0.239', 'grad_norm': '4.327', 'learning_rate': '4.586e-07', 'rewards/chosen': '0.7037', 'rewards/rejected': '-0.6374', 'rewards/accuracies': '1', 'rewards/margins': '1.341', 'logps/chosen': '-159.6', 'logps/rejected': '-75.26', 'logits/chosen': '1.797', 'logits/rejected': '1.79', 'epoch': '0.5138'}
{'loss': '0.2347', 'grad_norm': '4.167', 'learning_rate': '4.575e-07', 'rewards/chosen': '0.7132', 'rewards/rejected': '-0.6542', 'rewards/accuracies': '1', 'rewards/margins': '1.367', 'logps/chosen': '-165.2', 'logps/rejected': '-76.31', 'logits/chosen': '1.784', 'logits/rejected': '1.865', 'epoch': '0.5245'}
{'loss': '0.2364', 'grad_norm': '4.156', 'learning_rate': '4.564e-07', 'rewards/chosen': '0.7015', 'rewards/rejected': '-0.6657', 'rewards/accuracies': '1', 'rewards/margins': '1.367', 'logps/chosen': '-143', 'logps/rejected': '-75.08', 'logits/chosen': '1.841', 'logits/rejected': '1.836', 'epoch': '0.5352'}
{'loss': '0.2299', 'grad_norm': '3.79', 'learning_rate': '4.553e-07', 'rewards/chosen': '0.7077', 'rewards/rejected': '-0.6949', 'rewards/accuracies': '1', 'rewards/margins': '1.403', 'logps/chosen': '-150.6', 'logps/rejected': '-75.01', 'logits/chosen': '1.813', 'logits/rejected': '1.801', 'epoch': '0.5459'}
{'loss': '0.2133', 'grad_norm': '3.435', 'learning_rate': '4.542e-07', 'rewards/chosen': '0.7563', 'rewards/rejected': '-0.7228', 'rewards/accuracies': '1', 'rewards/margins': '1.479', 'logps/chosen': '-151.3', 'logps/rejected': '-75.73', 'logits/chosen': '1.809', 'logits/rejected': '1.789', 'epoch': '0.5566'}
{'loss': '0.2192', 'grad_norm': '3.514', 'learning_rate': '4.531e-07', 'rewards/chosen': '0.7316', 'rewards/rejected': '-0.7373', 'rewards/accuracies': '1', 'rewards/margins': '1.469', 'logps/chosen': '-156', 'logps/rejected': '-75.76', 'logits/chosen': '1.797', 'logits/rejected': '1.824', 'epoch': '0.5673'}
{'loss': '0.2052', 'grad_norm': '4.138', 'learning_rate': '4.52e-07', 'rewards/chosen': '0.7131', 'rewards/rejected': '-0.8129', 'rewards/accuracies': '1', 'rewards/margins': '1.526', 'logps/chosen': '-145.8', 'logps/rejected': '-76.89', 'logits/chosen': '1.764', 'logits/rejected': '1.821', 'epoch': '0.578'}
{'loss': '0.1861', 'grad_norm': '2.957', 'learning_rate': '4.509e-07', 'rewards/chosen': '0.7951', 'rewards/rejected': '-0.8351', 'rewards/accuracies': '1', 'rewards/margins': '1.63', 'logps/chosen': '-152.9', 'logps/rejected': '-76.36', 'logits/chosen': '1.772', 'logits/rejected': '1.79', 'epoch': '0.5887'}
{'loss': '0.1971', 'grad_norm': '2.97', 'learning_rate': '4.498e-07', 'rewards/chosen': '0.7466', 'rewards/rejected': '-0.8402', 'rewards/accuracies': '1', 'rewards/margins': '1.587', 'logps/chosen': '-143.4', 'logps/rejected': '-77.51', 'logits/chosen': '1.791', 'logits/rejected': '1.809', 'epoch': '0.5994'}
{'loss': '0.1733', 'grad_norm': '3.4', 'learning_rate': '4.487e-07', 'rewards/chosen': '0.7857', 'rewards/rejected': '-0.9379', 'rewards/accuracies': '1', 'rewards/margins': '1.724', 'logps/chosen': '-155.1', 'logps/rejected': '-79.23', 'logits/chosen': '1.8', 'logits/rejected': '1.821', 'epoch': '0.6101'}
{'loss': '0.166', 'grad_norm': '3.103', 'learning_rate': '4.477e-07', 'rewards/chosen': '0.8501', 'rewards/rejected': '-0.9247', 'rewards/accuracies': '1', 'rewards/margins': '1.775', 'logps/chosen': '-146.7', 'logps/rejected': '-78.83', 'logits/chosen': '1.74', 'logits/rejected': '1.812', 'epoch': '0.6208'}
{'loss': '0.1529', 'grad_norm': '3.166', 'learning_rate': '4.466e-07', 'rewards/chosen': '0.8729', 'rewards/rejected': '-0.9684', 'rewards/accuracies': '1', 'rewards/margins': '1.841', 'logps/chosen': '-160.7', 'logps/rejected': '-78.16', 'logits/chosen': '1.838', 'logits/rejected': '1.803', 'epoch': '0.6315'}
{'loss': '0.1547', 'grad_norm': '3.076', 'learning_rate': '4.455e-07', 'rewards/chosen': '0.8495', 'rewards/rejected': '-1.004', 'rewards/accuracies': '1', 'rewards/margins': '1.854', 'logps/chosen': '-150.9', 'logps/rejected': '-78.69', 'logits/chosen': '1.819', 'logits/rejected': '1.862', 'epoch': '0.6422'}
{'loss': '0.1571', 'grad_norm': '3.354', 'learning_rate': '4.444e-07', 'rewards/chosen': '0.8012', 'rewards/rejected': '-1.028', 'rewards/accuracies': '1', 'rewards/margins': '1.829', 'logps/chosen': '-156.5', 'logps/rejected': '-78.7', 'logits/chosen': '1.793', 'logits/rejected': '1.766', 'epoch': '0.6529'}
{'loss': '0.1486', 'grad_norm': '3.18', 'learning_rate': '4.433e-07', 'rewards/chosen': '0.83', 'rewards/rejected': '-1.072', 'rewards/accuracies': '1', 'rewards/margins': '1.902', 'logps/chosen': '-152.8', 'logps/rejected': '-79.03', 'logits/chosen': '1.787', 'logits/rejected': '1.82', 'epoch': '0.6636'}
{'loss': '0.1544', 'grad_norm': '2.931', 'learning_rate': '4.422e-07', 'rewards/chosen': '0.7539', 'rewards/rejected': '-1.109', 'rewards/accuracies': '1', 'rewards/margins': '1.862', 'logps/chosen': '-155.6', 'logps/rejected': '-80.45', 'logits/chosen': '1.778', 'logits/rejected': '1.798', 'epoch': '0.6743'}
{'loss': '0.1426', 'grad_norm': '3.297', 'learning_rate': '4.411e-07', 'rewards/chosen': '0.8243', 'rewards/rejected': '-1.123', 'rewards/accuracies': '1', 'rewards/margins': '1.947', 'logps/chosen': '-151.2', 'logps/rejected': '-78.75', 'logits/chosen': '1.784', 'logits/rejected': '1.766', 'epoch': '0.685'}
{'loss': '0.1221', 'grad_norm': '2.943', 'learning_rate': '4.4e-07', 'rewards/chosen': '0.9342', 'rewards/rejected': '-1.183', 'rewards/accuracies': '1', 'rewards/margins': '2.117', 'logps/chosen': '-150.4', 'logps/rejected': '-80.89', 'logits/chosen': '1.844', 'logits/rejected': '1.796', 'epoch': '0.6957'}
{'loss': '0.129', 'grad_norm': '2.174', 'learning_rate': '4.389e-07', 'rewards/chosen': '0.8648', 'rewards/rejected': '-1.204', 'rewards/accuracies': '1', 'rewards/margins': '2.069', 'logps/chosen': '-143.5', 'logps/rejected': '-80.99', 'logits/chosen': '1.764', 'logits/rejected': '1.781', 'epoch': '0.7064'}
{'loss': '0.1196', 'grad_norm': '2.731', 'learning_rate': '4.378e-07', 'rewards/chosen': '0.9192', 'rewards/rejected': '-1.229', 'rewards/accuracies': '1', 'rewards/margins': '2.148', 'logps/chosen': '-159.3', 'logps/rejected': '-81.06', 'logits/chosen': '1.85', 'logits/rejected': '1.808', 'epoch': '0.7172'}
{'loss': '0.1142', 'grad_norm': '2.299', 'learning_rate': '4.367e-07', 'rewards/chosen': '0.876', 'rewards/rejected': '-1.293', 'rewards/accuracies': '1', 'rewards/margins': '2.169', 'logps/chosen': '-140', 'logps/rejected': '-82.36', 'logits/chosen': '1.816', 'logits/rejected': '1.84', 'epoch': '0.7279'}
{'loss': '0.1043', 'grad_norm': '2.526', 'learning_rate': '4.356e-07', 'rewards/chosen': '0.9661', 'rewards/rejected': '-1.328', 'rewards/accuracies': '1', 'rewards/margins': '2.294', 'logps/chosen': '-162.3', 'logps/rejected': '-82.38', 'logits/chosen': '1.785', 'logits/rejected': '1.718', 'epoch': '0.7386'}
{'loss': '0.102', 'grad_norm': '2.059', 'learning_rate': '4.345e-07', 'rewards/chosen': '0.9478', 'rewards/rejected': '-1.354', 'rewards/accuracies': '1', 'rewards/margins': '2.302', 'logps/chosen': '-149.7', 'logps/rejected': '-82.74', 'logits/chosen': '1.776', 'logits/rejected': '1.786', 'epoch': '0.7493'}
{'loss': '0.0945', 'grad_norm': '1.904', 'learning_rate': '4.334e-07', 'rewards/chosen': '0.9983', 'rewards/rejected': '-1.407', 'rewards/accuracies': '1', 'rewards/margins': '2.405', 'logps/chosen': '-169.9', 'logps/rejected': '-82.69', 'logits/chosen': '1.832', 'logits/rejected': '1.779', 'epoch': '0.76'}
{'loss': '0.09825', 'grad_norm': '2.552', 'learning_rate': '4.323e-07', 'rewards/chosen': '0.9396', 'rewards/rejected': '-1.437', 'rewards/accuracies': '1', 'rewards/margins': '2.377', 'logps/chosen': '-149.3', 'logps/rejected': '-83.34', 'logits/chosen': '1.792', 'logits/rejected': '1.766', 'epoch': '0.7707'}
{'loss': '0.08773', 'grad_norm': '1.906', 'learning_rate': '4.313e-07', 'rewards/chosen': '0.973', 'rewards/rejected': '-1.515', 'rewards/accuracies': '1', 'rewards/margins': '2.488', 'logps/chosen': '-148.7', 'logps/rejected': '-85.09', 'logits/chosen': '1.749', 'logits/rejected': '1.706', 'epoch': '0.7814'}
{'loss': '0.08052', 'grad_norm': '1.658', 'learning_rate': '4.302e-07', 'rewards/chosen': '1.062', 'rewards/rejected': '-1.539', 'rewards/accuracies': '1', 'rewards/margins': '2.6', 'logps/chosen': '-163.8', 'logps/rejected': '-84.68', 'logits/chosen': '1.803', 'logits/rejected': '1.688', 'epoch': '0.7921'}
{'loss': '0.07486', 'grad_norm': '1.765', 'learning_rate': '4.291e-07', 'rewards/chosen': '1.028', 'rewards/rejected': '-1.61', 'rewards/accuracies': '1', 'rewards/margins': '2.638', 'logps/chosen': '-157.8', 'logps/rejected': '-84.7', 'logits/chosen': '1.835', 'logits/rejected': '1.655', 'epoch': '0.8028'}
{'loss': '0.07485', 'grad_norm': '1.647', 'learning_rate': '4.28e-07', 'rewards/chosen': '1.022', 'rewards/rejected': '-1.635', 'rewards/accuracies': '1', 'rewards/margins': '2.657', 'logps/chosen': '-146.3', 'logps/rejected': '-84.48', 'logits/chosen': '1.672', 'logits/rejected': '1.662', 'epoch': '0.8135'}
{'loss': '0.07162', 'grad_norm': '1.715', 'learning_rate': '4.269e-07', 'rewards/chosen': '1.002', 'rewards/rejected': '-1.701', 'rewards/accuracies': '1', 'rewards/margins': '2.702', 'logps/chosen': '-163.5', 'logps/rejected': '-86.73', 'logits/chosen': '1.772', 'logits/rejected': '1.682', 'epoch': '0.8242'}
{'loss': '0.08088', 'grad_norm': '1.792', 'learning_rate': '4.258e-07', 'rewards/chosen': '0.9475', 'rewards/rejected': '-1.658', 'rewards/accuracies': '1', 'rewards/margins': '2.605', 'logps/chosen': '-158.8', 'logps/rejected': '-85.05', 'logits/chosen': '1.759', 'logits/rejected': '1.762', 'epoch': '0.8349'}
{'loss': '0.07112', 'grad_norm': '1.544', 'learning_rate': '4.247e-07', 'rewards/chosen': '0.9596', 'rewards/rejected': '-1.766', 'rewards/accuracies': '1', 'rewards/margins': '2.725', 'logps/chosen': '-141.7', 'logps/rejected': '-86.11', 'logits/chosen': '1.682', 'logits/rejected': '1.659', 'epoch': '0.8456'}
