                                                                                                                                                                                 
{'loss': '0.6922', 'grad_norm': '7.741', 'learning_rate': '4.5e-08', 'rewards/chosen': '0.001897', 'rewards/rejected': '-0.0003265', 'rewards/accuracies': '0.35', 'rewards/margins': '0.002224', 'logps/chosen': '-137.7', 'logps/rejected': '-68.58', 'logits/chosen': '1.641', 'logits/rejected': '1.647', 'epoch': '0.01071'}
{'loss': '0.653', 'grad_norm': '8.199', 'learning_rate': '4.766e-07', 'rewards/chosen': '0.05274', 'rewards/rejected': '-0.02989', 'rewards/accuracies': '0.9625', 'rewards/margins': '0.08263', 'logps/chosen': '-130.5', 'logps/rejected': '-69.47', 'logits/chosen': '1.583', 'logits/rejected': '1.669', 'epoch': '0.1499'}
{'loss': '0.6508', 'grad_norm': '8.568', 'learning_rate': '4.706e-07', 'rewards/chosen': '0.04855', 'rewards/rejected': '-0.03897', 'rewards/accuracies': '0.9375', 'rewards/margins': '0.08752', 'logps/chosen': '-135.5', 'logps/rejected': '-68.88', 'logits/chosen': '1.609', 'logits/rejected': '1.669', 'epoch': '0.1606'}
{'loss': '0.6394', 'grad_norm': '7.99', 'learning_rate': '4.646e-07', 'rewards/chosen': '0.07383', 'rewards/rejected': '-0.03746', 'rewards/accuracies': '0.9875', 'rewards/margins': '0.1113', 'logps/chosen': '-121.2', 'logps/rejected': '-68.5', 'logits/chosen': '1.587', 'logits/rejected': '1.664', 'epoch': '0.1713'}
{'loss': '0.6311', 'grad_norm': '7.485', 'learning_rate': '4.586e-07', 'rewards/chosen': '0.07932', 'rewards/rejected': '-0.04981', 'rewards/accuracies': '0.975', 'rewards/margins': '0.1291', 'logps/chosen': '-128.3', 'logps/rejected': '-70.21', 'logits/chosen': '1.592', 'logits/rejected': '1.643', 'epoch': '0.182'}
{'loss': '0.6198', 'grad_norm': '7.463', 'learning_rate': '4.526e-07', 'rewards/chosen': '0.09824', 'rewards/rejected': '-0.05551', 'rewards/accuracies': '1', 'rewards/margins': '0.1538', 'logps/chosen': '-124.4', 'logps/rejected': '-68.71', 'logits/chosen': '1.581', 'logits/rejected': '1.691', 'epoch': '0.1927'}
{'loss': '0.6158', 'grad_norm': '7.845', 'learning_rate': '4.466e-07', 'rewards/chosen': '0.09678', 'rewards/rejected': '-0.06549', 'rewards/accuracies': '1', 'rewards/margins': '0.1623', 'logps/chosen': '-128.9', 'logps/rejected': '-70.08', 'logits/chosen': '1.646', 'logits/rejected': '1.709', 'epoch': '0.2034'}
{'loss': '0.5974', 'grad_norm': '7.201', 'learning_rate': '4.406e-07', 'rewards/chosen': '0.1192', 'rewards/rejected': '-0.08366', 'rewards/accuracies': '1', 'rewards/margins': '0.2028', 'logps/chosen': '-127.5', 'logps/rejected': '-70.01', 'logits/chosen': '1.629', 'logits/rejected': '1.705', 'epoch': '0.2141'}
{'loss': '0.5904', 'grad_norm': '8.172', 'learning_rate': '4.347e-07', 'rewards/chosen': '0.1296', 'rewards/rejected': '-0.0894', 'rewards/accuracies': '1', 'rewards/margins': '0.219', 'logps/chosen': '-115.5', 'logps/rejected': '-69.54', 'logits/chosen': '1.509', 'logits/rejected': '1.694', 'epoch': '0.2248'}
{'loss': '0.5724', 'grad_norm': '8.255', 'learning_rate': '4.287e-07', 'rewards/chosen': '0.1669', 'rewards/rejected': '-0.09288', 'rewards/accuracies': '1', 'rewards/margins': '0.2598', 'logps/chosen': '-138.5', 'logps/rejected': '-70.6', 'logits/chosen': '1.627', 'logits/rejected': '1.792', 'epoch': '0.2355'}
{'loss': '0.5691', 'grad_norm': '7.196', 'learning_rate': '4.227e-07', 'rewards/chosen': '0.1704', 'rewards/rejected': '-0.09699', 'rewards/accuracies': '1', 'rewards/margins': '0.2674', 'logps/chosen': '-114', 'logps/rejected': '-69.81', 'logits/chosen': '1.635', 'logits/rejected': '1.693', 'epoch': '0.2463'}
{'loss': '0.5502', 'grad_norm': '7.003', 'learning_rate': '4.167e-07', 'rewards/chosen': '0.1972', 'rewards/rejected': '-0.1148', 'rewards/accuracies': '1', 'rewards/margins': '0.3121', 'logps/chosen': '-132.3', 'logps/rejected': '-70.19', 'logits/chosen': '1.64', 'logits/rejected': '1.677', 'epoch': '0.257'}
{'loss': '0.5497', 'grad_norm': '8.01', 'learning_rate': '4.107e-07', 'rewards/chosen': '0.1871', 'rewards/rejected': '-0.1257', 'rewards/accuracies': '1', 'rewards/margins': '0.3128', 'logps/chosen': '-136.3', 'logps/rejected': '-70.2', 'logits/chosen': '1.698', 'logits/rejected': '1.745', 'epoch': '0.2677'}
{'loss': '0.5316', 'grad_norm': '8.242', 'learning_rate': '4.047e-07', 'rewards/chosen': '0.225', 'rewards/rejected': '-0.1329', 'rewards/accuracies': '1', 'rewards/margins': '0.3579', 'logps/chosen': '-124.6', 'logps/rejected': '-70.77', 'logits/chosen': '1.616', 'logits/rejected': '1.744', 'epoch': '0.2784'}
{'loss': '0.5293', 'grad_norm': '6.686', 'learning_rate': '3.987e-07', 'rewards/chosen': '0.2139', 'rewards/rejected': '-0.1498', 'rewards/accuracies': '1', 'rewards/margins': '0.3637', 'logps/chosen': '-128.4', 'logps/rejected': '-70.68', 'logits/chosen': '1.624', 'logits/rejected': '1.734', 'epoch': '0.2891'}
{'loss': '0.5203', 'grad_norm': '6.168', 'learning_rate': '3.927e-07', 'rewards/chosen': '0.2228', 'rewards/rejected': '-0.1639', 'rewards/accuracies': '0.9875', 'rewards/margins': '0.3866', 'logps/chosen': '-120.8', 'logps/rejected': '-69.98', 'logits/chosen': '1.648', 'logits/rejected': '1.694', 'epoch': '0.2998'}
{'loss': '0.4881', 'grad_norm': '7.912', 'learning_rate': '3.867e-07', 'rewards/chosen': '0.297', 'rewards/rejected': '-0.1709', 'rewards/accuracies': '1', 'rewards/margins': '0.4679', 'logps/chosen': '-138', 'logps/rejected': '-70.97', 'logits/chosen': '1.698', 'logits/rejected': '1.732', 'epoch': '0.3105'}
{'loss': '0.4814', 'grad_norm': '7.799', 'learning_rate': '3.807e-07', 'rewards/chosen': '0.2814', 'rewards/rejected': '-0.2054', 'rewards/accuracies': '1', 'rewards/margins': '0.4868', 'logps/chosen': '-130.9', 'logps/rejected': '-70.36', 'logits/chosen': '1.72', 'logits/rejected': '1.764', 'epoch': '0.3212'}
{'loss': '0.468', 'grad_norm': '7.852', 'learning_rate': '3.747e-07', 'rewards/chosen': '0.3206', 'rewards/rejected': '-0.2018', 'rewards/accuracies': '1', 'rewards/margins': '0.5224', 'logps/chosen': '-141', 'logps/rejected': '-70.41', 'logits/chosen': '1.713', 'logits/rejected': '1.723', 'epoch': '0.3319'}
{'loss': '0.4628', 'grad_norm': '6.915', 'learning_rate': '3.687e-07', 'rewards/chosen': '0.3171', 'rewards/rejected': '-0.2209', 'rewards/accuracies': '1', 'rewards/margins': '0.5381', 'logps/chosen': '-121.5', 'logps/rejected': '-71.14', 'logits/chosen': '1.624', 'logits/rejected': '1.775', 'epoch': '0.3426'}
{'loss': '0.4476', 'grad_norm': '7.145', 'learning_rate': '3.627e-07', 'rewards/chosen': '0.3369', 'rewards/rejected': '-0.2418', 'rewards/accuracies': '1', 'rewards/margins': '0.5787', 'logps/chosen': '-130.7', 'logps/rejected': '-70.47', 'logits/chosen': '1.742', 'logits/rejected': '1.775', 'epoch': '0.3533'}
{'loss': '0.4353', 'grad_norm': '6.633', 'learning_rate': '3.567e-07', 'rewards/chosen': '0.346', 'rewards/rejected': '-0.2698', 'rewards/accuracies': '1', 'rewards/margins': '0.6158', 'logps/chosen': '-144.1', 'logps/rejected': '-71.88', 'logits/chosen': '1.701', 'logits/rejected': '1.776', 'epoch': '0.364'}
{'loss': '0.4269', 'grad_norm': '6.381', 'learning_rate': '3.507e-07', 'rewards/chosen': '0.3807', 'rewards/rejected': '-0.2637', 'rewards/accuracies': '1', 'rewards/margins': '0.6444', 'logps/chosen': '-128.9', 'logps/rejected': '-70.43', 'logits/chosen': '1.699', 'logits/rejected': '1.72', 'epoch': '0.3747'}
{'loss': '0.4228', 'grad_norm': '6.079', 'learning_rate': '3.447e-07', 'rewards/chosen': '0.3518', 'rewards/rejected': '-0.3014', 'rewards/accuracies': '1', 'rewards/margins': '0.6532', 'logps/chosen': '-123.9', 'logps/rejected': '-72.3', 'logits/chosen': '1.723', 'logits/rejected': '1.853', 'epoch': '0.3854'}
{'loss': '0.4217', 'grad_norm': '6.308', 'learning_rate': '3.387e-07', 'rewards/chosen': '0.3556', 'rewards/rejected': '-0.301', 'rewards/accuracies': '1', 'rewards/margins': '0.6566', 'logps/chosen': '-127.3', 'logps/rejected': '-72.26', 'logits/chosen': '1.775', 'logits/rejected': '1.795', 'epoch': '0.3961'}
{'loss': '0.3968', 'grad_norm': '6.377', 'learning_rate': '3.327e-07', 'rewards/chosen': '0.42', 'rewards/rejected': '-0.3104', 'rewards/accuracies': '1', 'rewards/margins': '0.7303', 'logps/chosen': '-122.1', 'logps/rejected': '-72.17', 'logits/chosen': '1.656', 'logits/rejected': '1.772', 'epoch': '0.4069'}
{'loss': '0.4029', 'grad_norm': '6.101', 'learning_rate': '3.267e-07', 'rewards/chosen': '0.3915', 'rewards/rejected': '-0.3251', 'rewards/accuracies': '1', 'rewards/margins': '0.7167', 'logps/chosen': '-133.6', 'logps/rejected': '-71.76', 'logits/chosen': '1.79', 'logits/rejected': '1.778', 'epoch': '0.4176'}
{'loss': '0.3912', 'grad_norm': '5.626', 'learning_rate': '3.207e-07', 'rewards/chosen': '0.4118', 'rewards/rejected': '-0.3356', 'rewards/accuracies': '1', 'rewards/margins': '0.7474', 'logps/chosen': '-120.6', 'logps/rejected': '-72.64', 'logits/chosen': '1.709', 'logits/rejected': '1.768', 'epoch': '0.4283'}
{'loss': '0.3776', 'grad_norm': '5.362', 'learning_rate': '3.147e-07', 'rewards/chosen': '0.4518', 'rewards/rejected': '-0.3445', 'rewards/accuracies': '1', 'rewards/margins': '0.7963', 'logps/chosen': '-112.7', 'logps/rejected': '-72.83', 'logits/chosen': '1.649', 'logits/rejected': '1.765', 'epoch': '0.439'}
{'loss': '0.3572', 'grad_norm': '5.973', 'learning_rate': '3.088e-07', 'rewards/chosen': '0.4791', 'rewards/rejected': '-0.383', 'rewards/accuracies': '1', 'rewards/margins': '0.862', 'logps/chosen': '-120.3', 'logps/rejected': '-71.65', 'logits/chosen': '1.663', 'logits/rejected': '1.802', 'epoch': '0.4497'}
{'loss': '0.3468', 'grad_norm': '5.46', 'learning_rate': '3.028e-07', 'rewards/chosen': '0.4961', 'rewards/rejected': '-0.403', 'rewards/accuracies': '1', 'rewards/margins': '0.8991', 'logps/chosen': '-132.9', 'logps/rejected': '-73.59', 'logits/chosen': '1.774', 'logits/rejected': '1.804', 'epoch': '0.4604'}
{'loss': '0.3361', 'grad_norm': '5.702', 'learning_rate': '2.968e-07', 'rewards/chosen': '0.5125', 'rewards/rejected': '-0.4185', 'rewards/accuracies': '1', 'rewards/margins': '0.931', 'logps/chosen': '-131.1', 'logps/rejected': '-72.91', 'logits/chosen': '1.669', 'logits/rejected': '1.753', 'epoch': '0.4711'}
{'loss': '0.349', 'grad_norm': '5.459', 'learning_rate': '2.908e-07', 'rewards/chosen': '0.4649', 'rewards/rejected': '-0.43', 'rewards/accuracies': '1', 'rewards/margins': '0.8949', 'logps/chosen': '-117.9', 'logps/rejected': '-72.65', 'logits/chosen': '1.776', 'logits/rejected': '1.828', 'epoch': '0.4818'}
{'loss': '0.3401', 'grad_norm': '5.307', 'learning_rate': '2.848e-07', 'rewards/chosen': '0.4981', 'rewards/rejected': '-0.4211', 'rewards/accuracies': '1', 'rewards/margins': '0.9192', 'logps/chosen': '-119.7', 'logps/rejected': '-73.51', 'logits/chosen': '1.72', 'logits/rejected': '1.754', 'epoch': '0.4925'}
{'loss': '0.3252', 'grad_norm': '5.212', 'learning_rate': '2.788e-07', 'rewards/chosen': '0.5207', 'rewards/rejected': '-0.4537', 'rewards/accuracies': '1', 'rewards/margins': '0.9744', 'logps/chosen': '-118.8', 'logps/rejected': '-74.02', 'logits/chosen': '1.652', 'logits/rejected': '1.798', 'epoch': '0.5032'}
{'loss': '0.3087', 'grad_norm': '5.218', 'learning_rate': '2.728e-07', 'rewards/chosen': '0.5643', 'rewards/rejected': '-0.4764', 'rewards/accuracies': '1', 'rewards/margins': '1.041', 'logps/chosen': '-126.4', 'logps/rejected': '-74.38', 'logits/chosen': '1.689', 'logits/rejected': '1.814', 'epoch': '0.5139'}
{'loss': '0.3068', 'grad_norm': '5.253', 'learning_rate': '2.668e-07', 'rewards/chosen': '0.5676', 'rewards/rejected': '-0.4796', 'rewards/accuracies': '1', 'rewards/margins': '1.047', 'logps/chosen': '-120.5', 'logps/rejected': '-75.39', 'logits/chosen': '1.658', 'logits/rejected': '1.748', 'epoch': '0.5246'}
{'loss': '0.31', 'grad_norm': '4.989', 'learning_rate': '2.608e-07', 'rewards/chosen': '0.5382', 'rewards/rejected': '-0.5028', 'rewards/accuracies': '1', 'rewards/margins': '1.041', 'logps/chosen': '-126.1', 'logps/rejected': '-73.46', 'logits/chosen': '1.707', 'logits/rejected': '1.795', 'epoch': '0.5353'}
{'loss': '0.2853', 'grad_norm': '5.08', 'learning_rate': '2.548e-07', 'rewards/chosen': '0.5989', 'rewards/rejected': '-0.5327', 'rewards/accuracies': '1', 'rewards/margins': '1.132', 'logps/chosen': '-126.8', 'logps/rejected': '-73.1', 'logits/chosen': '1.711', 'logits/rejected': '1.803', 'epoch': '0.546'}
{'loss': '0.2836', 'grad_norm': '4.233', 'learning_rate': '2.488e-07', 'rewards/chosen': '0.5755', 'rewards/rejected': '-0.5575', 'rewards/accuracies': '1', 'rewards/margins': '1.133', 'logps/chosen': '-117.5', 'logps/rejected': '-74.08', 'logits/chosen': '1.679', 'logits/rejected': '1.843', 'epoch': '0.5567'}
{'loss': '0.289', 'grad_norm': '4.391', 'learning_rate': '2.428e-07', 'rewards/chosen': '0.5583', 'rewards/rejected': '-0.5552', 'rewards/accuracies': '1', 'rewards/margins': '1.114', 'logps/chosen': '-137.2', 'logps/rejected': '-74.18', 'logits/chosen': '1.811', 'logits/rejected': '1.858', 'epoch': '0.5675'}
{'loss': '0.2838', 'grad_norm': '4.522', 'learning_rate': '2.368e-07', 'rewards/chosen': '0.5645', 'rewards/rejected': '-0.5767', 'rewards/accuracies': '1', 'rewards/margins': '1.141', 'logps/chosen': '-116.2', 'logps/rejected': '-73.6', 'logits/chosen': '1.692', 'logits/rejected': '1.83', 'epoch': '0.5782'}
{'loss': '0.2884', 'grad_norm': '4.319', 'learning_rate': '2.308e-07', 'rewards/chosen': '0.5402', 'rewards/rejected': '-0.585', 'rewards/accuracies': '1', 'rewards/margins': '1.125', 'logps/chosen': '-124.2', 'logps/rejected': '-75.21', 'logits/chosen': '1.774', 'logits/rejected': '1.848', 'epoch': '0.5889'}
{'loss': '0.2509', 'grad_norm': '4.769', 'learning_rate': '2.248e-07', 'rewards/chosen': '0.6821', 'rewards/rejected': '-0.597', 'rewards/accuracies': '1', 'rewards/margins': '1.279', 'logps/chosen': '-126.7', 'logps/rejected': '-74.66', 'logits/chosen': '1.685', 'logits/rejected': '1.841', 'epoch': '0.5996'}
{'loss': '0.2671', 'grad_norm': '4.828', 'learning_rate': '2.188e-07', 'rewards/chosen': '0.5935', 'rewards/rejected': '-0.6142', 'rewards/accuracies': '1', 'rewards/margins': '1.208', 'logps/chosen': '-128.7', 'logps/rejected': '-75.98', 'logits/chosen': '1.721', 'logits/rejected': '1.848', 'epoch': '0.6103'}
{'loss': '0.2407', 'grad_norm': '4.394', 'learning_rate': '2.128e-07', 'rewards/chosen': '0.7098', 'rewards/rejected': '-0.6375', 'rewards/accuracies': '1', 'rewards/margins': '1.347', 'logps/chosen': '-128.1', 'logps/rejected': '-75.04', 'logits/chosen': '1.634', 'logits/rejected': '1.785', 'epoch': '0.621'}
{'loss': '0.2566', 'grad_norm': '4.014', 'learning_rate': '2.068e-07', 'rewards/chosen': '0.6166', 'rewards/rejected': '-0.649', 'rewards/accuracies': '1', 'rewards/margins': '1.266', 'logps/chosen': '-113.2', 'logps/rejected': '-75.57', 'logits/chosen': '1.66', 'logits/rejected': '1.827', 'epoch': '0.6317'}
{'loss': '0.2636', 'grad_norm': '4.061', 'learning_rate': '2.008e-07', 'rewards/chosen': '0.6144', 'rewards/rejected': '-0.6257', 'rewards/accuracies': '1', 'rewards/margins': '1.24', 'logps/chosen': '-120.2', 'logps/rejected': '-76.97', 'logits/chosen': '1.779', 'logits/rejected': '1.78', 'epoch': '0.6424'}
{'loss': '0.2375', 'grad_norm': '4.446', 'learning_rate': '1.948e-07', 'rewards/chosen': '0.672', 'rewards/rejected': '-0.6828', 'rewards/accuracies': '1', 'rewards/margins': '1.355', 'logps/chosen': '-123.8', 'logps/rejected': '-75.86', 'logits/chosen': '1.783', 'logits/rejected': '1.838', 'epoch': '0.6531'}
{'loss': '0.2419', 'grad_norm': '4.471', 'learning_rate': '1.888e-07', 'rewards/chosen': '0.6473', 'rewards/rejected': '-0.6843', 'rewards/accuracies': '1', 'rewards/margins': '1.332', 'logps/chosen': '-130.5', 'logps/rejected': '-75.17', 'logits/chosen': '1.746', 'logits/rejected': '1.837', 'epoch': '0.6638'}
{'loss': '0.2347', 'grad_norm': '3.872', 'learning_rate': '1.829e-07', 'rewards/chosen': '0.6702', 'rewards/rejected': '-0.6955', 'rewards/accuracies': '1', 'rewards/margins': '1.366', 'logps/chosen': '-107.7', 'logps/rejected': '-76.07', 'logits/chosen': '1.689', 'logits/rejected': '1.785', 'epoch': '0.6745'}
{'loss': '0.2354', 'grad_norm': '4.302', 'learning_rate': '1.769e-07', 'rewards/chosen': '0.6527', 'rewards/rejected': '-0.7049', 'rewards/accuracies': '1', 'rewards/margins': '1.358', 'logps/chosen': '-123', 'logps/rejected': '-76.25', 'logits/chosen': '1.746', 'logits/rejected': '1.776', 'epoch': '0.6852'}
{'loss': '0.2229', 'grad_norm': '3.735', 'learning_rate': '1.709e-07', 'rewards/chosen': '0.6964', 'rewards/rejected': '-0.7341', 'rewards/accuracies': '1', 'rewards/margins': '1.431', 'logps/chosen': '-126.2', 'logps/rejected': '-75.85', 'logits/chosen': '1.711', 'logits/rejected': '1.821', 'epoch': '0.6959'}
{'loss': '0.2134', 'grad_norm': '3.52', 'learning_rate': '1.649e-07', 'rewards/chosen': '0.7261', 'rewards/rejected': '-0.7361', 'rewards/accuracies': '1', 'rewards/margins': '1.462', 'logps/chosen': '-124.8', 'logps/rejected': '-77.22', 'logits/chosen': '1.641', 'logits/rejected': '1.8', 'epoch': '0.7066'}
{'loss': '0.2209', 'grad_norm': '3.805', 'learning_rate': '1.589e-07', 'rewards/chosen': '0.6736', 'rewards/rejected': '-0.759', 'rewards/accuracies': '1', 'rewards/margins': '1.433', 'logps/chosen': '-119.3', 'logps/rejected': '-76.81', 'logits/chosen': '1.718', 'logits/rejected': '1.85', 'epoch': '0.7173'}
{'loss': '0.2166', 'grad_norm': '3.413', 'learning_rate': '1.529e-07', 'rewards/chosen': '0.7171', 'rewards/rejected': '-0.7574', 'rewards/accuracies': '1', 'rewards/margins': '1.475', 'logps/chosen': '-120.1', 'logps/rejected': '-76.42', 'logits/chosen': '1.722', 'logits/rejected': '1.797', 'epoch': '0.7281'}
{'loss': '0.2226', 'grad_norm': '3.479', 'learning_rate': '1.469e-07', 'rewards/chosen': '0.6696', 'rewards/rejected': '-0.7506', 'rewards/accuracies': '1', 'rewards/margins': '1.42', 'logps/chosen': '-116.9', 'logps/rejected': '-76.5', 'logits/chosen': '1.716', 'logits/rejected': '1.777', 'epoch': '0.7388'}
{'loss': '0.2157', 'grad_norm': '3.474', 'learning_rate': '1.409e-07', 'rewards/chosen': '0.6953', 'rewards/rejected': '-0.7686', 'rewards/accuracies': '1', 'rewards/margins': '1.464', 'logps/chosen': '-119.2', 'logps/rejected': '-76.02', 'logits/chosen': '1.747', 'logits/rejected': '1.818', 'epoch': '0.7495'}
{'loss': '0.2131', 'grad_norm': '3.909', 'learning_rate': '1.349e-07', 'rewards/chosen': '0.7082', 'rewards/rejected': '-0.7871', 'rewards/accuracies': '1', 'rewards/margins': '1.495', 'logps/chosen': '-116.2', 'logps/rejected': '-76.36', 'logits/chosen': '1.732', 'logits/rejected': '1.771', 'epoch': '0.7602'}
{'loss': '0.21', 'grad_norm': '4.012', 'learning_rate': '1.289e-07', 'rewards/chosen': '0.7128', 'rewards/rejected': '-0.7914', 'rewards/accuracies': '1', 'rewards/margins': '1.504', 'logps/chosen': '-117.1', 'logps/rejected': '-77.48', 'logits/chosen': '1.751', 'logits/rejected': '1.758', 'epoch': '0.7709'}
{'loss': '0.2138', 'grad_norm': '3.96', 'learning_rate': '1.229e-07', 'rewards/chosen': '0.669', 'rewards/rejected': '-0.7995', 'rewards/accuracies': '1', 'rewards/margins': '1.468', 'logps/chosen': '-130.3', 'logps/rejected': '-76.68', 'logits/chosen': '1.756', 'logits/rejected': '1.855', 'epoch': '0.7816'}
{'loss': '0.2057', 'grad_norm': '4.01', 'learning_rate': '1.169e-07', 'rewards/chosen': '0.7351', 'rewards/rejected': '-0.7942', 'rewards/accuracies': '1', 'rewards/margins': '1.529', 'logps/chosen': '-113.1', 'logps/rejected': '-76.43', 'logits/chosen': '1.699', 'logits/rejected': '1.758', 'epoch': '0.7923'}
{'loss': '0.2072', 'grad_norm': '4.071', 'learning_rate': '1.109e-07', 'rewards/chosen': '0.7284', 'rewards/rejected': '-0.7974', 'rewards/accuracies': '1', 'rewards/margins': '1.526', 'logps/chosen': '-131.5', 'logps/rejected': '-77.13', 'logits/chosen': '1.715', 'logits/rejected': '1.818', 'epoch': '0.803'}
{'loss': '0.2009', 'grad_norm': '3.253', 'learning_rate': '1.049e-07', 'rewards/chosen': '0.7316', 'rewards/rejected': '-0.8278', 'rewards/accuracies': '1', 'rewards/margins': '1.559', 'logps/chosen': '-121.6', 'logps/rejected': '-78.06', 'logits/chosen': '1.683', 'logits/rejected': '1.759', 'epoch': '0.8137'}
{'loss': '0.1938', 'grad_norm': '3.732', 'learning_rate': '9.892e-08', 'rewards/chosen': '0.7723', 'rewards/rejected': '-0.8175', 'rewards/accuracies': '1', 'rewards/margins': '1.59', 'logps/chosen': '-122.7', 'logps/rejected': '-78.1', 'logits/chosen': '1.797', 'logits/rejected': '1.765', 'epoch': '0.8244'}
{'loss': '0.1987', 'grad_norm': '4.026', 'learning_rate': '9.293e-08', 'rewards/chosen': '0.7275', 'rewards/rejected': '-0.8386', 'rewards/accuracies': '1', 'rewards/margins': '1.566', 'logps/chosen': '-116.4', 'logps/rejected': '-77.21', 'logits/chosen': '1.708', 'logits/rejected': '1.906', 'epoch': '0.8351'}
{'loss': '0.1939', 'grad_norm': '3.428', 'learning_rate': '8.693e-08', 'rewards/chosen': '0.7184', 'rewards/rejected': '-0.8653', 'rewards/accuracies': '1', 'rewards/margins': '1.584', 'logps/chosen': '-129.4', 'logps/rejected': '-77.32', 'logits/chosen': '1.69', 'logits/rejected': '1.828', 'epoch': '0.8458'}
