                                                                                                                                    
{'loss': '0.6962', 'grad_norm': '7.664', 'learning_rate': '4.5e-08', 'rewards/chosen': '-0.002464', 'rewards/rejected': '0.00325', 'rewards/accuracies': '0.25', 'rewards/margins': '-0.005715', 'logps/chosen': '-95.66', 'logps/rejected': '-68.87', 'logits/chosen': '1.546', 'logits/rejected': '1.634', 'epoch': '0.0107'}
{'loss': '0.6332', 'grad_norm': '9.973', 'learning_rate': '4.647e-07', 'rewards/chosen': '0.08159', 'rewards/rejected': '-0.04312', 'rewards/accuracies': '0.9875', 'rewards/margins': '0.1247', 'logps/chosen': '-98.66', 'logps/rejected': '-69.46', 'logits/chosen': '1.6', 'logits/rejected': '1.697', 'epoch': '0.1713'}
{'loss': '0.6234', 'grad_norm': '8.571', 'learning_rate': '4.587e-07', 'rewards/chosen': '0.09243', 'rewards/rejected': '-0.05307', 'rewards/accuracies': '1', 'rewards/margins': '0.1455', 'logps/chosen': '-99.04', 'logps/rejected': '-70.09', 'logits/chosen': '1.591', 'logits/rejected': '1.671', 'epoch': '0.182'}
{'loss': '0.6039', 'grad_norm': '8.175', 'learning_rate': '4.527e-07', 'rewards/chosen': '0.1149', 'rewards/rejected': '-0.07336', 'rewards/accuracies': '1', 'rewards/margins': '0.1883', 'logps/chosen': '-95.93', 'logps/rejected': '-69.16', 'logits/chosen': '1.572', 'logits/rejected': '1.639', 'epoch': '0.1927'}
{'loss': '0.6022', 'grad_norm': '8.454', 'learning_rate': '4.467e-07', 'rewards/chosen': '0.1151', 'rewards/rejected': '-0.07723', 'rewards/accuracies': '1', 'rewards/margins': '0.1923', 'logps/chosen': '-98.49', 'logps/rejected': '-70.64', 'logits/chosen': '1.681', 'logits/rejected': '1.641', 'epoch': '0.2034'}
{'loss': '0.5925', 'grad_norm': '8.055', 'learning_rate': '4.407e-07', 'rewards/chosen': '0.1353', 'rewards/rejected': '-0.07852', 'rewards/accuracies': '1', 'rewards/margins': '0.2138', 'logps/chosen': '-92.58', 'logps/rejected': '-68.34', 'logits/chosen': '1.565', 'logits/rejected': '1.649', 'epoch': '0.2141'}
{'loss': '0.5757', 'grad_norm': '9.819', 'learning_rate': '4.347e-07', 'rewards/chosen': '0.159', 'rewards/rejected': '-0.09356', 'rewards/accuracies': '1', 'rewards/margins': '0.2526', 'logps/chosen': '-100.1', 'logps/rejected': '-70.85', 'logits/chosen': '1.548', 'logits/rejected': '1.738', 'epoch': '0.2248'}
{'loss': '0.5619', 'grad_norm': '7.087', 'learning_rate': '4.287e-07', 'rewards/chosen': '0.1716', 'rewards/rejected': '-0.1125', 'rewards/accuracies': '1', 'rewards/margins': '0.2841', 'logps/chosen': '-94.79', 'logps/rejected': '-69.43', 'logits/chosen': '1.561', 'logits/rejected': '1.701', 'epoch': '0.2355'}
{'loss': '0.5504', 'grad_norm': '7.856', 'learning_rate': '4.228e-07', 'rewards/chosen': '0.1907', 'rewards/rejected': '-0.1209', 'rewards/accuracies': '1', 'rewards/margins': '0.3117', 'logps/chosen': '-89.38', 'logps/rejected': '-70.41', 'logits/chosen': '1.482', 'logits/rejected': '1.728', 'epoch': '0.2462'}
{'loss': '0.5412', 'grad_norm': '7.489', 'learning_rate': '4.168e-07', 'rewards/chosen': '0.2019', 'rewards/rejected': '-0.1331', 'rewards/accuracies': '1', 'rewards/margins': '0.335', 'logps/chosen': '-100.9', 'logps/rejected': '-70.62', 'logits/chosen': '1.597', 'logits/rejected': '1.756', 'epoch': '0.2569'}
{'loss': '0.5263', 'grad_norm': '7.758', 'learning_rate': '4.108e-07', 'rewards/chosen': '0.229', 'rewards/rejected': '-0.1409', 'rewards/accuracies': '1', 'rewards/margins': '0.3698', 'logps/chosen': '-99.85', 'logps/rejected': '-70.74', 'logits/chosen': '1.638', 'logits/rejected': '1.688', 'epoch': '0.2676'}
{'loss': '0.5141', 'grad_norm': '7.448', 'learning_rate': '4.048e-07', 'rewards/chosen': '0.2498', 'rewards/rejected': '-0.1521', 'rewards/accuracies': '1', 'rewards/margins': '0.4019', 'logps/chosen': '-98.19', 'logps/rejected': '-69.7', 'logits/chosen': '1.65', 'logits/rejected': '1.713', 'epoch': '0.2783'}
{'loss': '0.5043', 'grad_norm': '7.062', 'learning_rate': '3.988e-07', 'rewards/chosen': '0.2512', 'rewards/rejected': '-0.1763', 'rewards/accuracies': '1', 'rewards/margins': '0.4274', 'logps/chosen': '-98.97', 'logps/rejected': '-70.88', 'logits/chosen': '1.548', 'logits/rejected': '1.72', 'epoch': '0.289'}
{'loss': '0.4979', 'grad_norm': '7.099', 'learning_rate': '3.928e-07', 'rewards/chosen': '0.259', 'rewards/rejected': '-0.1834', 'rewards/accuracies': '1', 'rewards/margins': '0.4425', 'logps/chosen': '-93.49', 'logps/rejected': '-70.62', 'logits/chosen': '1.608', 'logits/rejected': '1.739', 'epoch': '0.2997'}
{'loss': '0.4695', 'grad_norm': '8.209', 'learning_rate': '3.868e-07', 'rewards/chosen': '0.2993', 'rewards/rejected': '-0.2182', 'rewards/accuracies': '1', 'rewards/margins': '0.5175', 'logps/chosen': '-99.04', 'logps/rejected': '-72.39', 'logits/chosen': '1.697', 'logits/rejected': '1.797', 'epoch': '0.3104'}
{'loss': '0.463', 'grad_norm': '6.914', 'learning_rate': '3.808e-07', 'rewards/chosen': '0.32', 'rewards/rejected': '-0.2145', 'rewards/accuracies': '1', 'rewards/margins': '0.5345', 'logps/chosen': '-89.77', 'logps/rejected': '-70.18', 'logits/chosen': '1.546', 'logits/rejected': '1.739', 'epoch': '0.3211'}
{'loss': '0.4571', 'grad_norm': '6.72', 'learning_rate': '3.749e-07', 'rewards/chosen': '0.3221', 'rewards/rejected': '-0.23', 'rewards/accuracies': '1', 'rewards/margins': '0.5521', 'logps/chosen': '-90.53', 'logps/rejected': '-71.27', 'logits/chosen': '1.67', 'logits/rejected': '1.73', 'epoch': '0.3318'}
{'loss': '0.4397', 'grad_norm': '6.576', 'learning_rate': '3.689e-07', 'rewards/chosen': '0.3451', 'rewards/rejected': '-0.2579', 'rewards/accuracies': '1', 'rewards/margins': '0.603', 'logps/chosen': '-101.4', 'logps/rejected': '-71.18', 'logits/chosen': '1.644', 'logits/rejected': '1.741', 'epoch': '0.3425'}
{'loss': '0.4228', 'grad_norm': '6.496', 'learning_rate': '3.629e-07', 'rewards/chosen': '0.3702', 'rewards/rejected': '-0.2786', 'rewards/accuracies': '1', 'rewards/margins': '0.6488', 'logps/chosen': '-95.29', 'logps/rejected': '-71.3', 'logits/chosen': '1.662', 'logits/rejected': '1.738', 'epoch': '0.3532'}
{'loss': '0.4017', 'grad_norm': '6.677', 'learning_rate': '3.569e-07', 'rewards/chosen': '0.4129', 'rewards/rejected': '-0.3024', 'rewards/accuracies': '1', 'rewards/margins': '0.7153', 'logps/chosen': '-92.64', 'logps/rejected': '-71.28', 'logits/chosen': '1.649', 'logits/rejected': '1.799', 'epoch': '0.3639'}
{'loss': '0.4115', 'grad_norm': '5.898', 'learning_rate': '3.509e-07', 'rewards/chosen': '0.3864', 'rewards/rejected': '-0.2975', 'rewards/accuracies': '1', 'rewards/margins': '0.6839', 'logps/chosen': '-94.16', 'logps/rejected': '-70.77', 'logits/chosen': '1.657', 'logits/rejected': '1.761', 'epoch': '0.3746'}
{'loss': '0.3902', 'grad_norm': '6.493', 'learning_rate': '3.449e-07', 'rewards/chosen': '0.4162', 'rewards/rejected': '-0.3324', 'rewards/accuracies': '1', 'rewards/margins': '0.7486', 'logps/chosen': '-92.7', 'logps/rejected': '-71.15', 'logits/chosen': '1.62', 'logits/rejected': '1.773', 'epoch': '0.3853'}
{'loss': '0.3881', 'grad_norm': '6.193', 'learning_rate': '3.389e-07', 'rewards/chosen': '0.4105', 'rewards/rejected': '-0.3493', 'rewards/accuracies': '1', 'rewards/margins': '0.7598', 'logps/chosen': '-90.2', 'logps/rejected': '-71.38', 'logits/chosen': '1.621', 'logits/rejected': '1.737', 'epoch': '0.396'}
{'loss': '0.3682', 'grad_norm': '6.197', 'learning_rate': '3.329e-07', 'rewards/chosen': '0.4559', 'rewards/rejected': '-0.3701', 'rewards/accuracies': '1', 'rewards/margins': '0.826', 'logps/chosen': '-95.49', 'logps/rejected': '-72.55', 'logits/chosen': '1.556', 'logits/rejected': '1.727', 'epoch': '0.4067'}
{'loss': '0.3437', 'grad_norm': '5.682', 'learning_rate': '3.269e-07', 'rewards/chosen': '0.5225', 'rewards/rejected': '-0.3792', 'rewards/accuracies': '1', 'rewards/margins': '0.9018', 'logps/chosen': '-90.64', 'logps/rejected': '-73.02', 'logits/chosen': '1.568', 'logits/rejected': '1.771', 'epoch': '0.4174'}
{'loss': '0.3464', 'grad_norm': '5.826', 'learning_rate': '3.21e-07', 'rewards/chosen': '0.4957', 'rewards/rejected': '-0.4', 'rewards/accuracies': '1', 'rewards/margins': '0.8957', 'logps/chosen': '-94.06', 'logps/rejected': '-72.37', 'logits/chosen': '1.618', 'logits/rejected': '1.768', 'epoch': '0.4282'}
{'loss': '0.3302', 'grad_norm': '5.835', 'learning_rate': '3.15e-07', 'rewards/chosen': '0.5487', 'rewards/rejected': '-0.409', 'rewards/accuracies': '1', 'rewards/margins': '0.9577', 'logps/chosen': '-91.64', 'logps/rejected': '-73.12', 'logits/chosen': '1.612', 'logits/rejected': '1.724', 'epoch': '0.4389'}
{'loss': '0.3391', 'grad_norm': '5.519', 'learning_rate': '3.09e-07', 'rewards/chosen': '0.4862', 'rewards/rejected': '-0.4324', 'rewards/accuracies': '1', 'rewards/margins': '0.9185', 'logps/chosen': '-95.22', 'logps/rejected': '-72.43', 'logits/chosen': '1.678', 'logits/rejected': '1.841', 'epoch': '0.4496'}
{'loss': '0.3372', 'grad_norm': '5.676', 'learning_rate': '3.03e-07', 'rewards/chosen': '0.498', 'rewards/rejected': '-0.4391', 'rewards/accuracies': '1', 'rewards/margins': '0.9371', 'logps/chosen': '-97.23', 'logps/rejected': '-72.67', 'logits/chosen': '1.636', 'logits/rejected': '1.793', 'epoch': '0.4603'}
{'loss': '0.317', 'grad_norm': '5.508', 'learning_rate': '2.97e-07', 'rewards/chosen': '0.5441', 'rewards/rejected': '-0.463', 'rewards/accuracies': '1', 'rewards/margins': '1.007', 'logps/chosen': '-83.15', 'logps/rejected': '-73.45', 'logits/chosen': '1.67', 'logits/rejected': '1.808', 'epoch': '0.471'}
{'loss': '0.3062', 'grad_norm': '5.862', 'learning_rate': '2.91e-07', 'rewards/chosen': '0.5722', 'rewards/rejected': '-0.4815', 'rewards/accuracies': '1', 'rewards/margins': '1.054', 'logps/chosen': '-93.39', 'logps/rejected': '-74.22', 'logits/chosen': '1.662', 'logits/rejected': '1.786', 'epoch': '0.4817'}
{'loss': '0.2953', 'grad_norm': '5.087', 'learning_rate': '2.85e-07', 'rewards/chosen': '0.585', 'rewards/rejected': '-0.5041', 'rewards/accuracies': '1', 'rewards/margins': '1.089', 'logps/chosen': '-93.44', 'logps/rejected': '-73.86', 'logits/chosen': '1.678', 'logits/rejected': '1.761', 'epoch': '0.4924'}
{'loss': '0.2877', 'grad_norm': '5', 'learning_rate': '2.79e-07', 'rewards/chosen': '0.5921', 'rewards/rejected': '-0.5195', 'rewards/accuracies': '1', 'rewards/margins': '1.112', 'logps/chosen': '-95.85', 'logps/rejected': '-74.17', 'logits/chosen': '1.722', 'logits/rejected': '1.804', 'epoch': '0.5031'}
{'loss': '0.2707', 'grad_norm': '4.844', 'learning_rate': '2.731e-07', 'rewards/chosen': '0.6374', 'rewards/rejected': '-0.5505', 'rewards/accuracies': '1', 'rewards/margins': '1.188', 'logps/chosen': '-88.65', 'logps/rejected': '-74.38', 'logits/chosen': '1.651', 'logits/rejected': '1.758', 'epoch': '0.5138'}
{'loss': '0.2732', 'grad_norm': '4.906', 'learning_rate': '2.671e-07', 'rewards/chosen': '0.6178', 'rewards/rejected': '-0.5615', 'rewards/accuracies': '1', 'rewards/margins': '1.179', 'logps/chosen': '-102', 'logps/rejected': '-75.33', 'logits/chosen': '1.662', 'logits/rejected': '1.83', 'epoch': '0.5245'}
{'loss': '0.2732', 'grad_norm': '4.733', 'learning_rate': '2.611e-07', 'rewards/chosen': '0.6247', 'rewards/rejected': '-0.5629', 'rewards/accuracies': '1', 'rewards/margins': '1.188', 'logps/chosen': '-87.66', 'logps/rejected': '-74.02', 'logits/chosen': '1.707', 'logits/rejected': '1.801', 'epoch': '0.5352'}
{'loss': '0.2703', 'grad_norm': '4.832', 'learning_rate': '2.551e-07', 'rewards/chosen': '0.6143', 'rewards/rejected': '-0.581', 'rewards/accuracies': '1', 'rewards/margins': '1.195', 'logps/chosen': '-93.25', 'logps/rejected': '-73.8', 'logits/chosen': '1.673', 'logits/rejected': '1.771', 'epoch': '0.5459'}
{'loss': '0.253', 'grad_norm': '4.474', 'learning_rate': '2.491e-07', 'rewards/chosen': '0.6802', 'rewards/rejected': '-0.5921', 'rewards/accuracies': '1', 'rewards/margins': '1.272', 'logps/chosen': '-88.79', 'logps/rejected': '-74.42', 'logits/chosen': '1.671', 'logits/rejected': '1.756', 'epoch': '0.5566'}
{'loss': '0.2618', 'grad_norm': '4.382', 'learning_rate': '2.431e-07', 'rewards/chosen': '0.6369', 'rewards/rejected': '-0.6061', 'rewards/accuracies': '1', 'rewards/margins': '1.243', 'logps/chosen': '-91.31', 'logps/rejected': '-74.42', 'logits/chosen': '1.654', 'logits/rejected': '1.797', 'epoch': '0.5673'}
{'loss': '0.2453', 'grad_norm': '4.66', 'learning_rate': '2.371e-07', 'rewards/chosen': '0.6478', 'rewards/rejected': '-0.6623', 'rewards/accuracies': '1', 'rewards/margins': '1.31', 'logps/chosen': '-86.14', 'logps/rejected': '-75.35', 'logits/chosen': '1.62', 'logits/rejected': '1.793', 'epoch': '0.578'}
{'loss': '0.2327', 'grad_norm': '4.109', 'learning_rate': '2.311e-07', 'rewards/chosen': '0.7053', 'rewards/rejected': '-0.6627', 'rewards/accuracies': '1', 'rewards/margins': '1.368', 'logps/chosen': '-85.12', 'logps/rejected': '-74.66', 'logits/chosen': '1.603', 'logits/rejected': '1.767', 'epoch': '0.5887'}
{'loss': '0.2345', 'grad_norm': '3.994', 'learning_rate': '2.251e-07', 'rewards/chosen': '0.696', 'rewards/rejected': '-0.6723', 'rewards/accuracies': '1', 'rewards/margins': '1.368', 'logps/chosen': '-84.63', 'logps/rejected': '-75.8', 'logits/chosen': '1.679', 'logits/rejected': '1.786', 'epoch': '0.5994'}
{'loss': '0.2208', 'grad_norm': '4.185', 'learning_rate': '2.192e-07', 'rewards/chosen': '0.6959', 'rewards/rejected': '-0.7371', 'rewards/accuracies': '1', 'rewards/margins': '1.433', 'logps/chosen': '-95.14', 'logps/rejected': '-77.25', 'logits/chosen': '1.676', 'logits/rejected': '1.804', 'epoch': '0.6101'}
{'loss': '0.2156', 'grad_norm': '4.101', 'learning_rate': '2.132e-07', 'rewards/chosen': '0.7478', 'rewards/rejected': '-0.7165', 'rewards/accuracies': '1', 'rewards/margins': '1.464', 'logps/chosen': '-84.64', 'logps/rejected': '-76.71', 'logits/chosen': '1.573', 'logits/rejected': '1.793', 'epoch': '0.6208'}
{'loss': '0.2072', 'grad_norm': '4.221', 'learning_rate': '2.072e-07', 'rewards/chosen': '0.7686', 'rewards/rejected': '-0.7233', 'rewards/accuracies': '1', 'rewards/margins': '1.492', 'logps/chosen': '-100.3', 'logps/rejected': '-75.71', 'logits/chosen': '1.717', 'logits/rejected': '1.786', 'epoch': '0.6315'}
{'loss': '0.2112', 'grad_norm': '3.971', 'learning_rate': '2.012e-07', 'rewards/chosen': '0.729', 'rewards/rejected': '-0.7492', 'rewards/accuracies': '1', 'rewards/margins': '1.478', 'logps/chosen': '-84.77', 'logps/rejected': '-76.1', 'logits/chosen': '1.656', 'logits/rejected': '1.848', 'epoch': '0.6422'}
{'loss': '0.2169', 'grad_norm': '4.231', 'learning_rate': '1.952e-07', 'rewards/chosen': '0.7033', 'rewards/rejected': '-0.7442', 'rewards/accuracies': '1', 'rewards/margins': '1.447', 'logps/chosen': '-86.6', 'logps/rejected': '-75.83', 'logits/chosen': '1.624', 'logits/rejected': '1.752', 'epoch': '0.6529'}
{'loss': '0.2055', 'grad_norm': '3.742', 'learning_rate': '1.892e-07', 'rewards/chosen': '0.7369', 'rewards/rejected': '-0.7753', 'rewards/accuracies': '1', 'rewards/margins': '1.512', 'logps/chosen': '-89.33', 'logps/rejected': '-76.06', 'logits/chosen': '1.659', 'logits/rejected': '1.813', 'epoch': '0.6636'}
{'loss': '0.216', 'grad_norm': '4.017', 'learning_rate': '1.832e-07', 'rewards/chosen': '0.6743', 'rewards/rejected': '-0.7908', 'rewards/accuracies': '1', 'rewards/margins': '1.465', 'logps/chosen': '-90.67', 'logps/rejected': '-77.31', 'logits/chosen': '1.621', 'logits/rejected': '1.792', 'epoch': '0.6743'}
{'loss': '0.2071', 'grad_norm': '3.998', 'learning_rate': '1.772e-07', 'rewards/chosen': '0.7216', 'rewards/rejected': '-0.79', 'rewards/accuracies': '1', 'rewards/margins': '1.512', 'logps/chosen': '-89.44', 'logps/rejected': '-75.44', 'logits/chosen': '1.66', 'logits/rejected': '1.766', 'epoch': '0.685'}
{'loss': '0.1869', 'grad_norm': '4.09', 'learning_rate': '1.713e-07', 'rewards/chosen': '0.8071', 'rewards/rejected': '-0.8164', 'rewards/accuracies': '1', 'rewards/margins': '1.624', 'logps/chosen': '-85.01', 'logps/rejected': '-77.24', 'logits/chosen': '1.7', 'logits/rejected': '1.793', 'epoch': '0.6957'}
{'loss': '0.1928', 'grad_norm': '3.621', 'learning_rate': '1.653e-07', 'rewards/chosen': '0.7564', 'rewards/rejected': '-0.8363', 'rewards/accuracies': '1', 'rewards/margins': '1.593', 'logps/chosen': '-86.81', 'logps/rejected': '-77.28', 'logits/chosen': '1.64', 'logits/rejected': '1.78', 'epoch': '0.7064'}
{'loss': '0.192', 'grad_norm': '3.953', 'learning_rate': '1.593e-07', 'rewards/chosen': '0.7716', 'rewards/rejected': '-0.827', 'rewards/accuracies': '1', 'rewards/margins': '1.599', 'logps/chosen': '-98.24', 'logps/rejected': '-77', 'logits/chosen': '1.746', 'logits/rejected': '1.826', 'epoch': '0.7172'}
{'loss': '0.179', 'grad_norm': '3.502', 'learning_rate': '1.533e-07', 'rewards/chosen': '0.8029', 'rewards/rejected': '-0.8674', 'rewards/accuracies': '1', 'rewards/margins': '1.67', 'logps/chosen': '-85.43', 'logps/rejected': '-78.04', 'logits/chosen': '1.694', 'logits/rejected': '1.851', 'epoch': '0.7279'}
{'loss': '0.1808', 'grad_norm': '3.679', 'learning_rate': '1.473e-07', 'rewards/chosen': '0.8136', 'rewards/rejected': '-0.8588', 'rewards/accuracies': '1', 'rewards/margins': '1.672', 'logps/chosen': '-90.29', 'logps/rejected': '-77.64', 'logits/chosen': '1.624', 'logits/rejected': '1.736', 'epoch': '0.7386'}
{'loss': '0.1792', 'grad_norm': '3.516', 'learning_rate': '1.413e-07', 'rewards/chosen': '0.7976', 'rewards/rejected': '-0.8678', 'rewards/accuracies': '1', 'rewards/margins': '1.665', 'logps/chosen': '-84.39', 'logps/rejected': '-77.84', 'logits/chosen': '1.643', 'logits/rejected': '1.813', 'epoch': '0.7493'}
{'loss': '0.1752', 'grad_norm': '3.305', 'learning_rate': '1.353e-07', 'rewards/chosen': '0.8168', 'rewards/rejected': '-0.8752', 'rewards/accuracies': '1', 'rewards/margins': '1.692', 'logps/chosen': '-90.41', 'logps/rejected': '-77.4', 'logits/chosen': '1.662', 'logits/rejected': '1.806', 'epoch': '0.76'}
{'loss': '0.1758', 'grad_norm': '3.448', 'learning_rate': '1.293e-07', 'rewards/chosen': '0.8055', 'rewards/rejected': '-0.8932', 'rewards/accuracies': '1', 'rewards/margins': '1.699', 'logps/chosen': '-84', 'logps/rejected': '-77.95', 'logits/chosen': '1.65', 'logits/rejected': '1.802', 'epoch': '0.7707'}
{'loss': '0.1718', 'grad_norm': '3.586', 'learning_rate': '1.234e-07', 'rewards/chosen': '0.8133', 'rewards/rejected': '-0.913', 'rewards/accuracies': '1', 'rewards/margins': '1.726', 'logps/chosen': '-90.31', 'logps/rejected': '-79.09', 'logits/chosen': '1.642', 'logits/rejected': '1.753', 'epoch': '0.7814'}
{'loss': '0.1635', 'grad_norm': '3.158', 'learning_rate': '1.174e-07', 'rewards/chosen': '0.8612', 'rewards/rejected': '-0.9134', 'rewards/accuracies': '1', 'rewards/margins': '1.775', 'logps/chosen': '-97.77', 'logps/rejected': '-78.41', 'logits/chosen': '1.661', 'logits/rejected': '1.741', 'epoch': '0.7921'}
{'loss': '0.1663', 'grad_norm': '3.392', 'learning_rate': '1.114e-07', 'rewards/chosen': '0.8353', 'rewards/rejected': '-0.9209', 'rewards/accuracies': '1', 'rewards/margins': '1.756', 'logps/chosen': '-93.31', 'logps/rejected': '-77.81', 'logits/chosen': '1.724', 'logits/rejected': '1.718', 'epoch': '0.8028'}
{'loss': '0.1569', 'grad_norm': '2.978', 'learning_rate': '1.054e-07', 'rewards/chosen': '0.8658', 'rewards/rejected': '-0.9505', 'rewards/accuracies': '1', 'rewards/margins': '1.816', 'logps/chosen': '-91.25', 'logps/rejected': '-77.59', 'logits/chosen': '1.56', 'logits/rejected': '1.73', 'epoch': '0.8135'}
{'loss': '0.167', 'grad_norm': '3.191', 'learning_rate': '9.94e-08', 'rewards/chosen': '0.8058', 'rewards/rejected': '-0.9475', 'rewards/accuracies': '1', 'rewards/margins': '1.753', 'logps/chosen': '-93.21', 'logps/rejected': '-79.17', 'logits/chosen': '1.643', 'logits/rejected': '1.765', 'epoch': '0.8242'}
{'loss': '0.1689', 'grad_norm': '3.123', 'learning_rate': '9.341e-08', 'rewards/chosen': '0.8219', 'rewards/rejected': '-0.9272', 'rewards/accuracies': '1', 'rewards/margins': '1.749', 'logps/chosen': '-91.8', 'logps/rejected': '-77.71', 'logits/chosen': '1.612', 'logits/rejected': '1.833', 'epoch': '0.8349'}
{'loss': '0.1626', 'grad_norm': '2.953', 'learning_rate': '8.743e-08', 'rewards/chosen': '0.83', 'rewards/rejected': '-0.9681', 'rewards/accuracies': '1', 'rewards/margins': '1.798', 'logps/chosen': '-84.51', 'logps/rejected': '-78.16', 'logits/chosen': '1.573', 'logits/rejected': '1.749', 'epoch': '0.8456'}
