                                                                                                                                    
{'loss': '0.6956', 'grad_norm': '7.75', 'learning_rate': '4.5e-08', 'rewards/chosen': '-0.005866', 'rewards/rejected': '-0.00129', 'rewards/accuracies': '0.275', 'rewards/margins': '-0.004576', 'logps/chosen': '-142.2', 'logps/rejected': '-68.85', 'logits/chosen': '1.639', 'logits/rejected': '1.634', 'epoch': '0.0107'}
{'loss': '0.6508', 'grad_norm': '8.679', 'learning_rate': '4.707e-07', 'rewards/chosen': '0.06367', 'rewards/rejected': '-0.0239', 'rewards/accuracies': '0.95', 'rewards/margins': '0.08757', 'logps/chosen': '-151.6', 'logps/rejected': '-69.39', 'logits/chosen': '1.616', 'logits/rejected': '1.721', 'epoch': '0.1606'}
{'loss': '0.6411', 'grad_norm': '9.592', 'learning_rate': '4.647e-07', 'rewards/chosen': '0.06944', 'rewards/rejected': '-0.03814', 'rewards/accuracies': '1', 'rewards/margins': '0.1076', 'logps/chosen': '-150.1', 'logps/rejected': '-69.4', 'logits/chosen': '1.693', 'logits/rejected': '1.695', 'epoch': '0.1713'}
{'loss': '0.6317', 'grad_norm': '8.144', 'learning_rate': '4.587e-07', 'rewards/chosen': '0.08242', 'rewards/rejected': '-0.04545', 'rewards/accuracies': '0.9875', 'rewards/margins': '0.1279', 'logps/chosen': '-149.2', 'logps/rejected': '-70.01', 'logits/chosen': '1.696', 'logits/rejected': '1.666', 'epoch': '0.182'}
{'loss': '0.6178', 'grad_norm': '8.21', 'learning_rate': '4.527e-07', 'rewards/chosen': '0.1015', 'rewards/rejected': '-0.05662', 'rewards/accuracies': '1', 'rewards/margins': '0.1581', 'logps/chosen': '-145.6', 'logps/rejected': '-69.03', 'logits/chosen': '1.659', 'logits/rejected': '1.636', 'epoch': '0.1927'}
{'loss': '0.6068', 'grad_norm': '8.194', 'learning_rate': '4.467e-07', 'rewards/chosen': '0.114', 'rewards/rejected': '-0.06839', 'rewards/accuracies': '1', 'rewards/margins': '0.1824', 'logps/chosen': '-146.7', 'logps/rejected': '-70.54', 'logits/chosen': '1.77', 'logits/rejected': '1.639', 'epoch': '0.2034'}
{'loss': '0.6017', 'grad_norm': '8.081', 'learning_rate': '4.407e-07', 'rewards/chosen': '0.1256', 'rewards/rejected': '-0.06794', 'rewards/accuracies': '1', 'rewards/margins': '0.1935', 'logps/chosen': '-139.7', 'logps/rejected': '-68.25', 'logits/chosen': '1.66', 'logits/rejected': '1.645', 'epoch': '0.2141'}
{'loss': '0.5914', 'grad_norm': '9.68', 'learning_rate': '4.347e-07', 'rewards/chosen': '0.1412', 'rewards/rejected': '-0.07616', 'rewards/accuracies': '1', 'rewards/margins': '0.2174', 'logps/chosen': '-143.7', 'logps/rejected': '-70.68', 'logits/chosen': '1.631', 'logits/rejected': '1.739', 'epoch': '0.2248'}
{'loss': '0.5803', 'grad_norm': '7.048', 'learning_rate': '4.287e-07', 'rewards/chosen': '0.1501', 'rewards/rejected': '-0.09165', 'rewards/accuracies': '1', 'rewards/margins': '0.2418', 'logps/chosen': '-136.9', 'logps/rejected': '-69.25', 'logits/chosen': '1.64', 'logits/rejected': '1.699', 'epoch': '0.2355'}
{'loss': '0.5743', 'grad_norm': '7.725', 'learning_rate': '4.228e-07', 'rewards/chosen': '0.1611', 'rewards/rejected': '-0.09494', 'rewards/accuracies': '1', 'rewards/margins': '0.2561', 'logps/chosen': '-138.5', 'logps/rejected': '-70.16', 'logits/chosen': '1.591', 'logits/rejected': '1.725', 'epoch': '0.2462'}
{'loss': '0.5652', 'grad_norm': '7.439', 'learning_rate': '4.168e-07', 'rewards/chosen': '0.1701', 'rewards/rejected': '-0.1079', 'rewards/accuracies': '1', 'rewards/margins': '0.278', 'logps/chosen': '-137.6', 'logps/rejected': '-70.36', 'logits/chosen': '1.66', 'logits/rejected': '1.751', 'epoch': '0.2569'}
{'loss': '0.5448', 'grad_norm': '7.295', 'learning_rate': '4.108e-07', 'rewards/chosen': '0.2003', 'rewards/rejected': '-0.1244', 'rewards/accuracies': '1', 'rewards/margins': '0.3247', 'logps/chosen': '-145.1', 'logps/rejected': '-70.56', 'logits/chosen': '1.721', 'logits/rejected': '1.682', 'epoch': '0.2676'}
{'loss': '0.5371', 'grad_norm': '7.326', 'learning_rate': '4.048e-07', 'rewards/chosen': '0.2191', 'rewards/rejected': '-0.1252', 'rewards/accuracies': '1', 'rewards/margins': '0.3443', 'logps/chosen': '-144.2', 'logps/rejected': '-69.45', 'logits/chosen': '1.722', 'logits/rejected': '1.708', 'epoch': '0.2783'}
{'loss': '0.533', 'grad_norm': '6.935', 'learning_rate': '3.988e-07', 'rewards/chosen': '0.21', 'rewards/rejected': '-0.1454', 'rewards/accuracies': '1', 'rewards/margins': '0.3554', 'logps/chosen': '-144.5', 'logps/rejected': '-70.61', 'logits/chosen': '1.642', 'logits/rejected': '1.716', 'epoch': '0.289'}
{'loss': '0.516', 'grad_norm': '7.228', 'learning_rate': '3.928e-07', 'rewards/chosen': '0.2378', 'rewards/rejected': '-0.159', 'rewards/accuracies': '1', 'rewards/margins': '0.3968', 'logps/chosen': '-143.8', 'logps/rejected': '-70.37', 'logits/chosen': '1.708', 'logits/rejected': '1.734', 'epoch': '0.2997'}
{'loss': '0.5038', 'grad_norm': '8.051', 'learning_rate': '3.868e-07', 'rewards/chosen': '0.2526', 'rewards/rejected': '-0.1759', 'rewards/accuracies': '1', 'rewards/margins': '0.4285', 'logps/chosen': '-150.2', 'logps/rejected': '-71.98', 'logits/chosen': '1.784', 'logits/rejected': '1.789', 'epoch': '0.3104'}
{'loss': '0.4869', 'grad_norm': '7.216', 'learning_rate': '3.808e-07', 'rewards/chosen': '0.2853', 'rewards/rejected': '-0.1852', 'rewards/accuracies': '1', 'rewards/margins': '0.4706', 'logps/chosen': '-141.6', 'logps/rejected': '-69.85', 'logits/chosen': '1.653', 'logits/rejected': '1.733', 'epoch': '0.3211'}
{'loss': '0.4862', 'grad_norm': '6.972', 'learning_rate': '3.749e-07', 'rewards/chosen': '0.275', 'rewards/rejected': '-0.1991', 'rewards/accuracies': '1', 'rewards/margins': '0.4741', 'logps/chosen': '-141.6', 'logps/rejected': '-70.95', 'logits/chosen': '1.773', 'logits/rejected': '1.724', 'epoch': '0.3318'}
{'loss': '0.4743', 'grad_norm': '6.828', 'learning_rate': '3.689e-07', 'rewards/chosen': '0.2967', 'rewards/rejected': '-0.2095', 'rewards/accuracies': '1', 'rewards/margins': '0.5062', 'logps/chosen': '-151.7', 'logps/rejected': '-70.71', 'logits/chosen': '1.722', 'logits/rejected': '1.737', 'epoch': '0.3425'}
{'loss': '0.4513', 'grad_norm': '7.068', 'learning_rate': '3.629e-07', 'rewards/chosen': '0.3387', 'rewards/rejected': '-0.2282', 'rewards/accuracies': '1', 'rewards/margins': '0.5669', 'logps/chosen': '-157.4', 'logps/rejected': '-70.81', 'logits/chosen': '1.774', 'logits/rejected': '1.736', 'epoch': '0.3532'}
{'loss': '0.4328', 'grad_norm': '7.044', 'learning_rate': '3.569e-07', 'rewards/chosen': '0.36', 'rewards/rejected': '-0.2621', 'rewards/accuracies': '1', 'rewards/margins': '0.622', 'logps/chosen': '-143.6', 'logps/rejected': '-70.85', 'logits/chosen': '1.73', 'logits/rejected': '1.791', 'epoch': '0.3639'}
{'loss': '0.4454', 'grad_norm': '6.153', 'learning_rate': '3.509e-07', 'rewards/chosen': '0.3337', 'rewards/rejected': '-0.2508', 'rewards/accuracies': '1', 'rewards/margins': '0.5846', 'logps/chosen': '-142.8', 'logps/rejected': '-70.28', 'logits/chosen': '1.736', 'logits/rejected': '1.756', 'epoch': '0.3746'}
{'loss': '0.425', 'grad_norm': '6.801', 'learning_rate': '3.449e-07', 'rewards/chosen': '0.3617', 'rewards/rejected': '-0.282', 'rewards/accuracies': '1', 'rewards/margins': '0.6437', 'logps/chosen': '-146.7', 'logps/rejected': '-70.67', 'logits/chosen': '1.732', 'logits/rejected': '1.771', 'epoch': '0.3853'}
{'loss': '0.4213', 'grad_norm': '6.273', 'learning_rate': '3.389e-07', 'rewards/chosen': '0.3636', 'rewards/rejected': '-0.2954', 'rewards/accuracies': '1', 'rewards/margins': '0.659', 'logps/chosen': '-145.7', 'logps/rejected': '-70.86', 'logits/chosen': '1.729', 'logits/rejected': '1.736', 'epoch': '0.396'}
{'loss': '0.4024', 'grad_norm': '6.541', 'learning_rate': '3.329e-07', 'rewards/chosen': '0.3996', 'rewards/rejected': '-0.3144', 'rewards/accuracies': '1', 'rewards/margins': '0.714', 'logps/chosen': '-153.6', 'logps/rejected': '-72.03', 'logits/chosen': '1.69', 'logits/rejected': '1.724', 'epoch': '0.4067'}
{'loss': '0.3821', 'grad_norm': '5.967', 'learning_rate': '3.269e-07', 'rewards/chosen': '0.4575', 'rewards/rejected': '-0.3172', 'rewards/accuracies': '1', 'rewards/margins': '0.7747', 'logps/chosen': '-138.9', 'logps/rejected': '-72.38', 'logits/chosen': '1.653', 'logits/rejected': '1.766', 'epoch': '0.4174'}
{'loss': '0.3909', 'grad_norm': '6.069', 'learning_rate': '3.21e-07', 'rewards/chosen': '0.4125', 'rewards/rejected': '-0.3353', 'rewards/accuracies': '1', 'rewards/margins': '0.7477', 'logps/chosen': '-145.9', 'logps/rejected': '-71.72', 'logits/chosen': '1.712', 'logits/rejected': '1.762', 'epoch': '0.4282'}
{'loss': '0.3661', 'grad_norm': '6.059', 'learning_rate': '3.15e-07', 'rewards/chosen': '0.4881', 'rewards/rejected': '-0.3455', 'rewards/accuracies': '1', 'rewards/margins': '0.8335', 'logps/chosen': '-145.6', 'logps/rejected': '-72.53', 'logits/chosen': '1.702', 'logits/rejected': '1.72', 'epoch': '0.4389'}
{'loss': '0.3742', 'grad_norm': '5.786', 'learning_rate': '3.09e-07', 'rewards/chosen': '0.4403', 'rewards/rejected': '-0.3614', 'rewards/accuracies': '1', 'rewards/margins': '0.8018', 'logps/chosen': '-147.8', 'logps/rejected': '-71.71', 'logits/chosen': '1.775', 'logits/rejected': '1.84', 'epoch': '0.4496'}
{'loss': '0.3708', 'grad_norm': '5.906', 'learning_rate': '3.03e-07', 'rewards/chosen': '0.4482', 'rewards/rejected': '-0.3712', 'rewards/accuracies': '1', 'rewards/margins': '0.8194', 'logps/chosen': '-143.8', 'logps/rejected': '-71.98', 'logits/chosen': '1.717', 'logits/rejected': '1.796', 'epoch': '0.4603'}
{'loss': '0.3538', 'grad_norm': '5.669', 'learning_rate': '2.97e-07', 'rewards/chosen': '0.4873', 'rewards/rejected': '-0.3885', 'rewards/accuracies': '1', 'rewards/margins': '0.8757', 'logps/chosen': '-140.8', 'logps/rejected': '-72.69', 'logits/chosen': '1.778', 'logits/rejected': '1.811', 'epoch': '0.471'}
{'loss': '0.344', 'grad_norm': '6.159', 'learning_rate': '2.91e-07', 'rewards/chosen': '0.5084', 'rewards/rejected': '-0.4036', 'rewards/accuracies': '1', 'rewards/margins': '0.912', 'logps/chosen': '-147.6', 'logps/rejected': '-73.48', 'logits/chosen': '1.744', 'logits/rejected': '1.788', 'epoch': '0.4817'}
{'loss': '0.3379', 'grad_norm': '5.36', 'learning_rate': '2.85e-07', 'rewards/chosen': '0.5059', 'rewards/rejected': '-0.4229', 'rewards/accuracies': '1', 'rewards/margins': '0.9288', 'logps/chosen': '-141.9', 'logps/rejected': '-73.04', 'logits/chosen': '1.761', 'logits/rejected': '1.766', 'epoch': '0.4924'}
{'loss': '0.3269', 'grad_norm': '5.531', 'learning_rate': '2.79e-07', 'rewards/chosen': '0.5205', 'rewards/rejected': '-0.4429', 'rewards/accuracies': '1', 'rewards/margins': '0.9634', 'logps/chosen': '-150.2', 'logps/rejected': '-73.4', 'logits/chosen': '1.797', 'logits/rejected': '1.808', 'epoch': '0.5031'}
{'loss': '0.3119', 'grad_norm': '5.432', 'learning_rate': '2.731e-07', 'rewards/chosen': '0.5632', 'rewards/rejected': '-0.4612', 'rewards/accuracies': '1', 'rewards/margins': '1.024', 'logps/chosen': '-143.2', 'logps/rejected': '-73.48', 'logits/chosen': '1.731', 'logits/rejected': '1.763', 'epoch': '0.5138'}
{'loss': '0.3085', 'grad_norm': '5.414', 'learning_rate': '2.671e-07', 'rewards/chosen': '0.567', 'rewards/rejected': '-0.4742', 'rewards/accuracies': '1', 'rewards/margins': '1.041', 'logps/chosen': '-150.9', 'logps/rejected': '-74.46', 'logits/chosen': '1.736', 'logits/rejected': '1.838', 'epoch': '0.5245'}
{'loss': '0.319', 'grad_norm': '5.18', 'learning_rate': '2.611e-07', 'rewards/chosen': '0.538', 'rewards/rejected': '-0.4673', 'rewards/accuracies': '1', 'rewards/margins': '1.005', 'logps/chosen': '-134', 'logps/rejected': '-73.05', 'logits/chosen': '1.787', 'logits/rejected': '1.813', 'epoch': '0.5352'}
{'loss': '0.3075', 'grad_norm': '5.158', 'learning_rate': '2.551e-07', 'rewards/chosen': '0.5601', 'rewards/rejected': '-0.4914', 'rewards/accuracies': '1', 'rewards/margins': '1.051', 'logps/chosen': '-139.2', 'logps/rejected': '-72.92', 'logits/chosen': '1.766', 'logits/rejected': '1.779', 'epoch': '0.5459'}
{'loss': '0.297', 'grad_norm': '4.957', 'learning_rate': '2.491e-07', 'rewards/chosen': '0.5883', 'rewards/rejected': '-0.4967', 'rewards/accuracies': '1', 'rewards/margins': '1.085', 'logps/chosen': '-137.4', 'logps/rejected': '-73.48', 'logits/chosen': '1.753', 'logits/rejected': '1.766', 'epoch': '0.5566'}
{'loss': '0.2999', 'grad_norm': '4.813', 'learning_rate': '2.431e-07', 'rewards/chosen': '0.5694', 'rewards/rejected': '-0.5139', 'rewards/accuracies': '1', 'rewards/margins': '1.083', 'logps/chosen': '-143.6', 'logps/rejected': '-73.5', 'logits/chosen': '1.742', 'logits/rejected': '1.808', 'epoch': '0.5673'}
{'loss': '0.2906', 'grad_norm': '5.163', 'learning_rate': '2.371e-07', 'rewards/chosen': '0.56', 'rewards/rejected': '-0.5581', 'rewards/accuracies': '1', 'rewards/margins': '1.118', 'logps/chosen': '-133.5', 'logps/rejected': '-74.32', 'logits/chosen': '1.719', 'logits/rejected': '1.807', 'epoch': '0.578'}
{'loss': '0.2671', 'grad_norm': '4.663', 'learning_rate': '2.311e-07', 'rewards/chosen': '0.6413', 'rewards/rejected': '-0.5645', 'rewards/accuracies': '1', 'rewards/margins': '1.206', 'logps/chosen': '-145.5', 'logps/rejected': '-73.65', 'logits/chosen': '1.724', 'logits/rejected': '1.778', 'epoch': '0.5887'}
{'loss': '0.2851', 'grad_norm': '4.422', 'learning_rate': '2.251e-07', 'rewards/chosen': '0.5784', 'rewards/rejected': '-0.565', 'rewards/accuracies': '1', 'rewards/margins': '1.143', 'logps/chosen': '-133', 'logps/rejected': '-74.76', 'logits/chosen': '1.756', 'logits/rejected': '1.798', 'epoch': '0.5994'}
{'loss': '0.2653', 'grad_norm': '4.521', 'learning_rate': '2.192e-07', 'rewards/chosen': '0.5919', 'rewards/rejected': '-0.626', 'rewards/accuracies': '1', 'rewards/margins': '1.218', 'logps/chosen': '-144.4', 'logps/rejected': '-76.12', 'logits/chosen': '1.759', 'logits/rejected': '1.819', 'epoch': '0.6101'}
{'loss': '0.2555', 'grad_norm': '4.415', 'learning_rate': '2.132e-07', 'rewards/chosen': '0.6761', 'rewards/rejected': '-0.5927', 'rewards/accuracies': '1', 'rewards/margins': '1.269', 'logps/chosen': '-134.8', 'logps/rejected': '-75.51', 'logits/chosen': '1.673', 'logits/rejected': '1.808', 'epoch': '0.6208'}
{'loss': '0.2468', 'grad_norm': '4.5', 'learning_rate': '2.072e-07', 'rewards/chosen': '0.6776', 'rewards/rejected': '-0.6191', 'rewards/accuracies': '1', 'rewards/margins': '1.297', 'logps/chosen': '-151.7', 'logps/rejected': '-74.64', 'logits/chosen': '1.802', 'logits/rejected': '1.802', 'epoch': '0.6315'}
{'loss': '0.2493', 'grad_norm': '4.316', 'learning_rate': '2.012e-07', 'rewards/chosen': '0.6576', 'rewards/rejected': '-0.6373', 'rewards/accuracies': '1', 'rewards/margins': '1.295', 'logps/chosen': '-139', 'logps/rejected': '-74.95', 'logits/chosen': '1.765', 'logits/rejected': '1.866', 'epoch': '0.6422'}
{'loss': '0.2567', 'grad_norm': '4.604', 'learning_rate': '1.952e-07', 'rewards/chosen': '0.6195', 'rewards/rejected': '-0.6346', 'rewards/accuracies': '1', 'rewards/margins': '1.254', 'logps/chosen': '-140.9', 'logps/rejected': '-74.72', 'logits/chosen': '1.738', 'logits/rejected': '1.771', 'epoch': '0.6529'}
{'loss': '0.2469', 'grad_norm': '4.098', 'learning_rate': '1.892e-07', 'rewards/chosen': '0.6494', 'rewards/rejected': '-0.6586', 'rewards/accuracies': '1', 'rewards/margins': '1.308', 'logps/chosen': '-138.9', 'logps/rejected': '-74.9', 'logits/chosen': '1.742', 'logits/rejected': '1.835', 'epoch': '0.6636'}
{'loss': '0.2561', 'grad_norm': '4.418', 'learning_rate': '1.832e-07', 'rewards/chosen': '0.5975', 'rewards/rejected': '-0.6726', 'rewards/accuracies': '1', 'rewards/margins': '1.27', 'logps/chosen': '-140.6', 'logps/rejected': '-76.13', 'logits/chosen': '1.718', 'logits/rejected': '1.812', 'epoch': '0.6743'}
{'loss': '0.2489', 'grad_norm': '4.548', 'learning_rate': '1.772e-07', 'rewards/chosen': '0.6301', 'rewards/rejected': '-0.6763', 'rewards/accuracies': '1', 'rewards/margins': '1.306', 'logps/chosen': '-142.4', 'logps/rejected': '-74.25', 'logits/chosen': '1.765', 'logits/rejected': '1.785', 'epoch': '0.685'}
{'loss': '0.2247', 'grad_norm': '4.432', 'learning_rate': '1.713e-07', 'rewards/chosen': '0.7178', 'rewards/rejected': '-0.7016', 'rewards/accuracies': '1', 'rewards/margins': '1.419', 'logps/chosen': '-136.4', 'logps/rejected': '-76.07', 'logits/chosen': '1.797', 'logits/rejected': '1.816', 'epoch': '0.6957'}
{'loss': '0.2353', 'grad_norm': '3.929', 'learning_rate': '1.653e-07', 'rewards/chosen': '0.6628', 'rewards/rejected': '-0.7087', 'rewards/accuracies': '1', 'rewards/margins': '1.372', 'logps/chosen': '-134.4', 'logps/rejected': '-75.98', 'logits/chosen': '1.74', 'logits/rejected': '1.804', 'epoch': '0.7064'}
{'loss': '0.2276', 'grad_norm': '4.135', 'learning_rate': '1.593e-07', 'rewards/chosen': '0.7123', 'rewards/rejected': '-0.6945', 'rewards/accuracies': '1', 'rewards/margins': '1.407', 'logps/chosen': '-145.4', 'logps/rejected': '-75.66', 'logits/chosen': '1.817', 'logits/rejected': '1.852', 'epoch': '0.7172'}
{'loss': '0.2197', 'grad_norm': '3.99', 'learning_rate': '1.533e-07', 'rewards/chosen': '0.6999', 'rewards/rejected': '-0.7346', 'rewards/accuracies': '1', 'rewards/margins': '1.434', 'logps/chosen': '-131.4', 'logps/rejected': '-76.72', 'logits/chosen': '1.786', 'logits/rejected': '1.876', 'epoch': '0.7279'}
{'loss': '0.2151', 'grad_norm': '3.94', 'learning_rate': '1.473e-07', 'rewards/chosen': '0.7407', 'rewards/rejected': '-0.7322', 'rewards/accuracies': '1', 'rewards/margins': '1.473', 'logps/chosen': '-141.3', 'logps/rejected': '-76.38', 'logits/chosen': '1.746', 'logits/rejected': '1.764', 'epoch': '0.7386'}
{'loss': '0.2174', 'grad_norm': '4.013', 'learning_rate': '1.413e-07', 'rewards/chosen': '0.7267', 'rewards/rejected': '-0.7302', 'rewards/accuracies': '1', 'rewards/margins': '1.457', 'logps/chosen': '-137.8', 'logps/rejected': '-76.49', 'logits/chosen': '1.746', 'logits/rejected': '1.841', 'epoch': '0.7493'}
{'loss': '0.2154', 'grad_norm': '3.672', 'learning_rate': '1.353e-07', 'rewards/chosen': '0.7282', 'rewards/rejected': '-0.7409', 'rewards/accuracies': '1', 'rewards/margins': '1.469', 'logps/chosen': '-151.8', 'logps/rejected': '-76', 'logits/chosen': '1.783', 'logits/rejected': '1.836', 'epoch': '0.76'}
{'loss': '0.2138', 'grad_norm': '3.857', 'learning_rate': '1.293e-07', 'rewards/chosen': '0.7276', 'rewards/rejected': '-0.7573', 'rewards/accuracies': '1', 'rewards/margins': '1.485', 'logps/chosen': '-136.1', 'logps/rejected': '-76.55', 'logits/chosen': '1.749', 'logits/rejected': '1.832', 'epoch': '0.7707'}
{'loss': '0.2154', 'grad_norm': '4.037', 'learning_rate': '1.234e-07', 'rewards/chosen': '0.6945', 'rewards/rejected': '-0.7747', 'rewards/accuracies': '1', 'rewards/margins': '1.469', 'logps/chosen': '-140.3', 'logps/rejected': '-77.65', 'logits/chosen': '1.745', 'logits/rejected': '1.786', 'epoch': '0.7814'}
{'loss': '0.2046', 'grad_norm': '3.615', 'learning_rate': '1.174e-07', 'rewards/chosen': '0.7678', 'rewards/rejected': '-0.7703', 'rewards/accuracies': '1', 'rewards/margins': '1.538', 'logps/chosen': '-146.8', 'logps/rejected': '-76.99', 'logits/chosen': '1.77', 'logits/rejected': '1.774', 'epoch': '0.7921'}
{'loss': '0.2039', 'grad_norm': '3.865', 'learning_rate': '1.114e-07', 'rewards/chosen': '0.7449', 'rewards/rejected': '-0.7865', 'rewards/accuracies': '1', 'rewards/margins': '1.531', 'logps/chosen': '-144.7', 'logps/rejected': '-76.48', 'logits/chosen': '1.817', 'logits/rejected': '1.75', 'epoch': '0.8028'}
{'loss': '0.1973', 'grad_norm': '3.483', 'learning_rate': '1.054e-07', 'rewards/chosen': '0.7631', 'rewards/rejected': '-0.8005', 'rewards/accuracies': '1', 'rewards/margins': '1.564', 'logps/chosen': '-141.1', 'logps/rejected': '-76.11', 'logits/chosen': '1.676', 'logits/rejected': '1.759', 'epoch': '0.8135'}
{'loss': '0.2045', 'grad_norm': '3.433', 'learning_rate': '9.94e-08', 'rewards/chosen': '0.7323', 'rewards/rejected': '-0.7985', 'rewards/accuracies': '1', 'rewards/margins': '1.531', 'logps/chosen': '-149.1', 'logps/rejected': '-77.65', 'logits/chosen': '1.748', 'logits/rejected': '1.8', 'epoch': '0.8242'}
{'loss': '0.2112', 'grad_norm': '3.567', 'learning_rate': '9.341e-08', 'rewards/chosen': '0.7252', 'rewards/rejected': '-0.7782', 'rewards/accuracies': '1', 'rewards/margins': '1.503', 'logps/chosen': '-146.3', 'logps/rejected': '-76.23', 'logits/chosen': '1.745', 'logits/rejected': '1.866', 'epoch': '0.8349'}
{'loss': '0.2022', 'grad_norm': '3.466', 'learning_rate': '8.743e-08', 'rewards/chosen': '0.7231', 'rewards/rejected': '-0.8205', 'rewards/accuracies': '1', 'rewards/margins': '1.544', 'logps/chosen': '-132.7', 'logps/rejected': '-76.67', 'logits/chosen': '1.666', 'logits/rejected': '1.784', 'epoch': '0.8456'}
